sample,BSU26090
LBexp_1,6.9955
LBexp_2,6.8889
LBexp_3,7.1888
LBtran_1,7.2637
LBtran_2,7.0394
LBtran_3,7.2503
LBstat_1,7.404
LBstat_2,7.6847
LBstat_3,7.6747
LBGexp_1,6.9464
LBGexp_2,6.9859
LBGexp_3,7.0782
LBGtran_2,7.6532
LBGtran_3,7.5541
LBGstat_1,8.7488
LBGstat_2,7.9843
LBGstat_3,8.2009
S0_1,6.7287
S0_2,6.996
S0_3,7.337999999999999
S1_1,7.1165
S1_2,7.1341
S1_3,6.8228
S2_1,7.4736
S2_2,6.9142
S2_3,7.0023
S3_1,7.148
S3_2,6.7167
S4_1,7.529
S4_2,6.9298
S4_3,6.9996
S5_1,7.1203
S5_2,7.3687
S5_3,7.3112
S6_1,7.9
S6_2,7.1724
S6_3,7.761
S6/t_1,7.9559
S6/t_2,7.4227
S6_4,7.7149
S6_5,7.974
S6_6,7.5481
S7_4,8.6718
S7_5,8.4356
S7_6,8.8955
S8_4,8.2403
S8_5,8.929
G135_1,7.3529
G135_3,7.4943
G150_1,7.3259
G150_2,6.8807
G150_3,7.2741
G180_1,7.2331
G180_2,6.8814
G180_3,6.9842
C30_1,8.5787
C30_2,8.5472
C90_1,7.657
C90_2,6.9062
BI_1,6.9691
BI_2,6.8835
BC_2,6.8267
BC/t_1,7.0295
BC/t_2,8.0295
BC_1,7.1643
Sw_1,6.8452
Sw_2,6.7392
BT_1,7.3078
BT_2,7.0902
B36_1,7.0796
B36_2,7.0285
B60_1,7.3439999999999985
B60_2,7.4084
M9exp_1,7.1934
M9exp_2,7.319
M9exp_3,7.1116
M9tran_1,7.4038
M9tran_2,7.4145
M9tran_3,7.2652
M9stat_1,7.9199
M9stat_2,7.9115
M9stat_3,7.6932
M+G_1,8.1218
M+G_2,7.4885
M+G_3,7.3847
Glu_1,7.5575
Glu_2,7.6253
Glu_3,7.5141
Fru_1,7.2483
Fru_2,7.6867
Fru_3,7.4753
Mal_1,7.0805
Mal_2,7.6834
Mal_3,7.364
G+S_2,7.4002
G+S_3,7.6494
Pyr_1,7.5636
Pyr_2,7.5546
Pyr_3,7.6569
Gly_1,7.5728
Gly_2,7.5751
Gly_3,7.9732
Glucon_1,7.9187
Glucon_2,7.8464
Glucon_3,8.1251
aero_1,7.1133
aero_2,7.2198
aero_3,6.9174
nit_1,7.1932
nit_2,7.1515
nit_3,6.9291
ferm_1,7.2810000000000015
ferm_2,7.0577
ferm_3,7.2133
T-5.40H_1,7.3044
T-4.40H_1,7.3283
T-3.40H_1,7.1271
T-2.40H_1,7.2183
T-1.40H_1,7.0754
T-1.10H_1,6.8535
T-0.40H_1,6.7148
T0.0H_1,6.7378
T0.30H_1,7.7868
T1.0H_1,7.2951
T1.30H_1,7.7965
T2.0H_1,7.9726
T2.30H_1,7.5554
T3.0H_1,7.459
T3.30H_1,7.6432
T4.0H_1,7.292999999999998
T5.0H_1,7.5369
HPh_1,7.9166
HPh_2,7.2725
HPh_3,7.8511
LPh_1,7.5447
LPh_2,7.392
LPh_3,7.7021
LPhT_1,8.3121
LPhT_2,8.0165
LPhT_3,7.9576
SMMPr_1,6.7359
SMMPr_2,7.1307
SMMPr_3,7.211
HiTm_1,7.4818
HiTm_2,7.7346
HiTm_3,7.7526
LoTm_1,7.0636
LoTm_2,7.0794
LoTm_3,6.7889
HiOs_1,7.124
HiOs_2,7.3748
HiOs_3,7.3592
BMM_1,7.159
BMM_2,7.0943
BMM_3,7.334
Heat_1,7.8899
Heat_2,7.532
Heat_3,7.9765
Cold_1,7.2487
Cold_2,7.309
Cold_3,7.4382
Etha_1,7.6432
Etha_2,7.8718
Etha_3,7.4542
SMM_1,7.3115
SMM_2,7.1478
SMM_3,7.0176
Salt_1,7.1097
Salt_2,6.9749
Salt_3,7.056
Mt0_1,7.1323
Mt0_3,6.5578
M0t45_1,7.2193
M0t45_2,6.875
M0t45_3,6.9374
M0t90_1,7.4818
M0t90_2,7.3172
M0t90_3,7.2161
M40t45_1,7.3699
M40t45_2,7.2723
M40t45_3,6.7462
M40t90_1,7.2198
M40t90_2,7.0928
M40t90_3,7.042000000000002
dia0_1,7.0862
dia0_2,7.0624
dia0_3,6.7069
dia5_1,7.166
dia5_2,7.3815
dia5_3,6.7376
dia15_1,7.0839
dia15_2,7.1479
dia15_3,7.2706
Diami_1,7.4972
Diami_2,7.1913
Diami_3,7.6436
Paraq_1,7.3403
Paraq_2,6.9479
Paraq_3,7.0366
H2O2_1,7.0028
H2O2_2,7.0945
H2O2_3,7.3865
Oxctl_1,7.6405
Oxctl_2,7.5793
Oxctl_3,7.178
GM-0.1_1,7.3009
GM-0.2_1,7.8194
GM+5_1,7.0872
GM+15_1,7.355
GM+25_1,7.223
GM+45_1,7.4436
GM+60_1,7.2055
GM+90_1,7.4871
GM+120_1,7.899
GM+150_1,7.5972
GM-0.1_2,7.0887
GM-0.2_2,7.7279
GM+5_2,7.0018
GM+10_2,7.1645
GM+15_2,7.5070000000000014
GM+25_2,7.5185
GM+45_2,6.7646
GM+60_2,7.4697
GM+90_2,8.0224
GM+150_2,7.4393
GM-0.1_3,7.6492
GM-0.2_3,7.1434
GM+5_3,7.359
GM+10_3,7.0557
GM+15_3,7.4222
GM+25_3,7.577000000000001
GM+45_3,7.9841
GM+60_3,7.7151
GM+90_3,7.6796
GM+120_3,8.4159
GM+150_3,7.3432
MG-0.1_1,7.2416
MG+5_1,7.415
MG+10_1,7.3282
MG+15_1,7.2392
MG+25_1,7.3205
MG+45_1,7.4389
MG+120_1,7.4646
MG+150_1,7.3987
MG-0.1_2,6.8221
MG-0.2_2,6.9648
MG+5_2,6.7164
MG+10_2,6.8925
MG+15_2,7.6621
MG+25_2,7.2118
MG+45_2,7.0151
MG+60_2,7.2857
MG+90_2,6.6402
MG+120_2,7.1586
MG-0.1_3,7.232
MG-0.2_3,7.4464
MG+5_3,7.6249
MG+10_3,7.6758
MG+15_3,7.2881
MG+25_3,7.1407
MG+45_3,7.2064
MG+60_3,7.3858
MG+90_3,6.9885
MG+120_3,7.0631
MG+150_3,7.3059
