,A,NanR,Crp
R2,,0.02566496662459916,0.003911444645017914
xmin,,-2.1800995280000004,-9.852476477
xmid,,0.20785158327778305,-0.8091982472126662
xmax,,1.661827123,1.6003325529999994
ystart,,1.1160907617620153,0.8465661564676203
yend,,4.551163070616487,1.9522730915814535
control__wt_glc__1,0.292539455197628,0.0009553140000004844,0.012478645999999928
control__wt_glc__2,-0.2925394551976409,-0.0009553140000004844,-0.012478645999999928
fur__wt_dpd__1,2.7210049448284312,0.10161419499999892,0.07757413100000042
fur__wt_dpd__2,2.097841657170917,0.17371807199999978,-0.0906821709999992
fur__wt_fe__1,0.5939515886539067,-0.2569747190000005,-0.030513672999999738
fur__wt_fe__2,0.7944420370940708,-0.3284684430000002,0.0581907200000007
fur__delfur_dpd__1,3.488436700897783,0.12676408799999986,-0.10598198399999957
fur__delfur_dpd__2,2.2732829498088503,0.045184999999999136,-0.22346684100000047
fur__delfur_fe2__1,1.5034583694793262,-0.05899197900000086,0.4364299129999996
fur__delfur_fe2__2,1.926589512230029,-0.2280362010000001,0.36756339300000107
acid__wt_ph5__1,2.2246217099512355,0.006525368000000142,0.3455225730000002
acid__wt_ph5__2,1.825813023503815,-0.08430154099999942,0.34313646300000045
acid__delgadx_ph5__2,1.4565621276809972,0.20599887099999936,0.3393877130000007
acid__delgadw_ph5__1,2.078693166373229,-0.016812780000000416,0.3838637929999997
acid__delgadw_ph5__2,2.8645370666840138,-0.003402214000000292,0.3398617829999999
acid__delgade_ph5__1,1.9401812588532088,0.08923471499999902,0.432408723
acid__delgade_ph5__2,2.134130557557135,-0.02701433100000017,0.4824361929999999
oxidative__wt_pq__1,3.9719325678284143,-0.03902665900000013,0.17662370300000066
oxidative__wt_pq__2,4.508721737501379,0.06466992199999932,0.24038529300000103
oxidative__deloxyr_pq__1,3.128276210078118,0.7279382769999998,0.5131550130000004
oxidative__deloxyr_pq__2,3.031132684431751,0.7385327899999989,0.5363373029999998
oxidative__delsoxr_pq__1,3.968340756228705,0.09013617699999976,0.3346725330000009
oxidative__delsoxr_pq__2,4.1093247822425925,-0.10123197000000063,0.3870598730000001
oxidative__delsoxs_pq__1,4.54397813666565,0.27177265699999964,0.5134629630000003
oxidative__delsoxs_pq__2,4.997798946254593,0.229758897,0.5104807529999995
nac_ntrc__wt_csn__1,3.291427537983872,0.22071458400000046,-0.0727968299999997
nac_ntrc__wt_csn__2,3.677431557688548,0.1367644549999989,-0.09324395099999984
nac_ntrc__wt_cytd__1,3.6177399488206463,-0.021034811999999903,-0.043119613
nac_ntrc__wt_cytd__2,3.2663997594370087,-0.09353595900000043,-0.07348926000000056
nac_ntrc__wt_gln__1,4.123831005749879,0.009682264999999468,0.16383650300000066
nac_ntrc__wt_gln__2,3.639544562144645,-0.034103368000000245,0.11651884599999995
nac_ntrc__bw_delnac_csn__1,2.858561754790037,0.5292637799999991,0.16921202300000004
nac_ntrc__bw_delnac_csn__2,1.89296975859707,0.9157382859999998,0.03216219000000109
nac_ntrc__bw_delnac_cytd__1,3.0972787575618344,0.2118490529999999,0.2936758630000007
nac_ntrc__bw_delnac_cytd__2,2.753058763022588,0.08643513499999944,0.2286386530000009
nac_ntrc__bw_delnac_gln__1,2.8643356126146493,0.09495093700000012,0.5051051429999998
nac_ntrc__bw_delnac_gln__2,2.779893867453603,0.2517635179999997,0.563775123000001
nac_ntrc__bw_delnac_nh4__1,0.9441404455290542,-0.006139349000000571,0.3391651030000009
nac_ntrc__bw_delnac_nh4__2,1.178097439918064,0.0574008190000006,0.3602350630000011
misc__wt_no_te__1,4.574966868594459,-0.091998641,0.3221691629999999
misc__wt_no_te__2,2.447952962130396,-0.022226762999999927,0.3159875930000009
misc__bw_delcbl__1,0.4272888708624407,0.15572985199999945,0.30577407300000026
misc__bw_delcbl__2,-0.0866010217187772,0.17551338499999947,0.3225694130000001
misc__bw_delfabr__1,-0.9613933632040464,0.01504738599999911,0.1944652930000004
misc__bw_delfabr__2,-0.5551597809476336,-0.2230727180000001,0.13385438500000113
misc__bw_delfadr__1,0.960599642503025,0.020641610999999397,0.325118883
misc__bw_delfadr__2,0.9712891832640472,0.1145450979999998,0.3434663330000003
misc__nitr_031__1,1.9605198200752691,0.3517092919999998,0.2155988630000003
omics__wt_glu__1,-0.852555420575117,0.36263534699999933,0.3481259330000004
omics__wt_glu__2,-0.8903823037120274,0.3868912120000001,0.31989882300000083
omics__wt_gly__1,-1.2750710017463047,0.2068150949999996,0.3121818130000005
omics__wt_gly__2,-1.0554908553185276,0.2361067099999996,0.3489800729999999
