,yagM
Cr_1,-0.002823679226306712
Cr_2,-0.0027181515854087512
Cr_3,0.0022304533711923554
Cr_4,0.0005614070841658907
Cr_5,0.006894743219264203
Cr_6,0.009864941648485866
Fe_1,-0.00911927547095425
Fe_2,-0.018380713344666233
Fe_3,-0.038831665747212536
Fe_4,-0.04868936121172168
Fe_5,-0.0696824518776981
Fe_6,-0.1016808434347764
Cd_1,0.009018919312684394
Cd_2,0.014853444974660472
Cd_3,0.01828321306925533
Cd_4,0.024203942040026342
Cd_5,0.026448400807782917
Cd_6,0.03292375183756495
Zn_1,0.025678305018612818
Zn_2,0.012678880712314013
Zn_3,-0.019254782337095745
Zn_4,-0.05586782718063718
Zn_5,-0.08759834810729927
Zn_6,-0.11317834265715375
Cu_1,0.003052475655694472
Cu_2,0.0031652228807939552
Cu_3,-0.0020487261190981773
Cu_4,-0.006134552919693465
Cu_5,-0.008239467883179256
Cu_6,-0.009758991530785615
Pb_1,0.0016423224704973948
Pb_2,0.00684416337194133
Pb_3,0.011012999592497815
Pb_4,0.02003731471275369
Pb_5,0.02016757036833439
Pb_6,0.022802427165097748
