,yjbB
Cr_1,0.002357523583947352
Cr_2,0.005071291683206549
Cr_3,0.00952326812759543
Cr_4,0.014710615179510602
Cr_5,0.016824421366668132
Cr_6,0.017918210169352095
Fe_1,-0.011769067005700969
Fe_2,-0.0377655739135714
Fe_3,-0.06514558152433525
Fe_4,-0.09805907578470993
Fe_5,-0.12960350014638186
Fe_6,-0.14976924201908567
Cd_1,-0.0002047313973887844
Cd_2,0.0019169274472556372
Cd_3,-0.0023033091922896732
Cd_4,-0.0007453144020593017
Cd_5,-0.003684141567822775
Cd_6,-0.000507591919622525
Zn_1,-0.004332937266688485
Zn_2,-0.017004531246001552
Zn_3,-0.02199531139723303
Zn_4,-0.022058805974196325
Zn_5,-0.020012258676949283
Zn_6,-0.014424534319506178
Cu_1,0.0011330830069043551
Cu_2,0.005340893169967652
Cu_3,0.0075744672716908015
Cu_4,0.010604104609377529
Cu_5,0.011773874287245745
Cu_6,0.014405588821383656
Pb_1,0.00495025249553215
Pb_2,0.012897452287522466
Pb_3,0.02200213940764619
Pb_4,0.0311713769286016
Pb_5,0.040801811422256695
Pb_6,0.04903177199358024
