,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,-3.33333360913457e-11,0.0850686248319863,3.0,0.0,0.0980247799,1.0,-0.0544921546,2.0,-0.043532625400000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-0.7524613606666667,0.3918951364977799,3.0,3.0,-0.9217439875000001,4.0,-1.0312610221,5.0,-0.3043790724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-0.9627706283666667,0.17666099497942717,3.0,6.0,-1.0007084409,7.0,-1.1173806636,8.0,-0.7702227806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,9.52381295520121e-12,0.20115337238425393,21.0,9.0,0.22556290240000001,10.0,-0.12289842620000001,11.0,-0.20969849140000002,12.0,0.0825143696,13.0,-0.10013658610000001,14.0,0.18751976680000002,15.0,-0.0712122711,16.0,-0.0881234093,17.0,0.36940512480000004,18.0,0.1130669554,19.0,0.32508960870000003,20.0,-0.2953471203,21.0,-0.23753129750000002,22.0,-0.0102746391,23.0,-0.0218677683,24.0,-0.2626235515,25.0,0.2601562072,26.0,0.20743749220000002,27.0,-0.0577123041,28.0,-0.2147255851,29.0,-0.07860097690000001
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,0.024302954804761915,0.3313344626128688,21.0,30.0,0.3356913265,31.0,-0.5338172789,32.0,-0.4327344618,33.0,0.019545511300000002,34.0,-0.0819318356,35.0,0.1858934117,36.0,0.5988116968,37.0,0.1600601694,38.0,0.4026862586,39.0,-0.2822890521,40.0,-0.10867523450000001,41.0,-0.30412211510000003,42.0,0.0210451501,43.0,-0.1516806028,44.0,-0.3728143574,45.0,-0.045123894500000004,46.0,-0.1604961453,47.0,-0.1033494809,48.0,0.4489787509,49.0,0.5804945749,50.0,0.3341896596
5,WT_vs_Del_ccpA__THY_None_WT_exponential,2.3129646346357427e-18,0.10802131259104938,3.0,51.0,-0.0710174044,52.0,0.12431185630000001,53.0,-0.053294451900000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-0.503180950275,0.40757469631434756,4.0,54.0,-1.0874197521,55.0,-0.38396451,56.0,-0.4023530328,57.0,-0.1389865062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-3.469446951953614e-18,0.06565915729811987,4.0,58.0,-0.029577672500000003,59.0,0.0503305301,60.0,0.0578512536,61.0,-0.07860411120000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.3166485234,0.05941890169104826,4.0,62.0,-0.255347661,63.0,-0.276557901,64.0,-0.36076219530000003,65.0,-0.3739263363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-0.05357228095,0.05430149851378253,4.0,66.0,-0.0091904962,67.0,-0.011585728,68.0,-0.0704543596,69.0,-0.12305854000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,0.150983415875,0.09507940999848526,4.0,70.0,0.0843704587,71.0,0.0543519759,72.0,0.2293656483,73.0,0.23584558060000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,1.6666672671602118e-11,0.31625051269526677,6.0,74.0,0.3802593091,75.0,0.1783486325,76.0,0.2735726076,86.0,-0.2538904057,88.0,-0.38175852190000004,90.0,-0.1965316215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,-0.23016521431666667,0.16507045805850512,6.0,77.0,-0.2243388872,78.0,-0.1729314086,79.0,-0.0701748631,87.0,-0.1252256388,89.0,-0.2483287327,91.0,-0.5399917555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,-0.3242174611,0.05666515818991015,3.0,80.0,-0.2812391601,82.0,-0.3029796952,84.0,-0.38843352800000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,-1.7323649885666665,0.09405798864982394,3.0,81.0,-1.7358080009,83.0,-1.6366327677,85.0,-1.8246541971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WT_vs_Del_fabT__THY_35°C_WT_mid-exponential_OD1.0,-3.333333146541643e-11,0.05409200723741707,3.0,92.0,-0.022915813,93.0,-0.0388620139,94.0,0.061777826800000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WT_vs_Del_fabT__THY_35°C_Del_fabT_mid-exponential_OD1.0,0.5250647219000001,0.05117205978647471,3.0,95.0,0.4862104755,96.0,0.58304493,97.0,0.5059387602000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WT_vs_Del_fabT__THY_40°C_WT_mid-exponential_OD1.0,0.3237544117,0.035608289112634854,3.0,98.0,0.2921704619,99.0,0.3623453085,100.0,0.31674746470000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WT_vs_Del_fabT__THY_40°C_Del_fabT_mid-exponential_OD1.0,0.6535322848666668,0.07022246880758305,3.0,101.0,0.6693581712000001,102.0,0.5767473509000001,103.0,0.7144913325000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WT_vs_Del_fabT__THY_35°C_WT_stationary,0.07142127943333333,0.15801566632924124,3.0,104.0,0.24461087250000002,105.0,0.034555493,106.0,-0.0649025272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WT_vs_Del_fabT__THY_35°C_Del_fabT_stationary,-0.0039055176333333344,0.08805624453753737,3.0,107.0,-0.1041079166,108.0,0.0312453764,109.0,0.0611459873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,WT_vs_Del_fabT__THY_40°C_WT_stationary,0.20283387803333333,0.04375472740412295,3.0,110.0,0.22933527620000002,111.0,0.1523308892,112.0,0.22683546870000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,WT_vs_Del_fabT__THY_40°C_Del_fabT_stationary,0.6127953722666667,0.11794365079853175,3.0,113.0,0.5492965656000001,114.0,0.7488837948,115.0,0.5402057564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
