,A,ImmR
R2,,0.10346400108019826
xmin,,8.4475
xmid,,11.52452227372081
xmax,,14.4915
ystart,,-3.841779084917988
yend,,6.85600767627799
LBexp_1,-10.7464507853,12.1833
LBexp_2,-10.7900835911,12.7135
LBexp_3,-8.463531231,12.2558
LBtran_1,-6.4133969399,12.776
LBtran_2,-7.6345344986,12.1487
LBtran_3,-6.9983489274,11.8391
LBstat_1,-4.9036737732999995,11.3573
LBstat_2,-2.9177443632,10.9827
LBstat_3,-2.024873157,10.1528
LBGexp_1,-8.9555644874,11.9899
LBGexp_2,-8.8744721504,12.9191
LBGexp_3,-8.1857503022,12.2381
LBGtran_2,-3.0077676325,11.3747
LBGtran_3,-7.5816847307,12.4707
LBGstat_1,0.6013441432000001,10.2943
LBGstat_2,1.5526783949,9.5696
LBGstat_3,3.8777587233,12.0376
S0_1,-11.5919971747,8.9152
S0_2,-9.6943477321,10.0115
S0_3,-9.0429050318,9.8974
S1_1,-9.8382139189,13.6038
S1_2,-8.8188093737,13.545
S1_3,-10.5714424413,13.8211
S2_1,-3.3690766392000002,13.2922
S2_2,-4.0701200262,12.8527
S2_3,-2.2473180292,12.72
S3_1,-6.6460782972,13.0539
S3_2,-7.9377193148,13.0207
S4_1,-8.3719930814,12.575
S4_2,-8.2336840546,11.9008
S4_3,-6.2732466031,11.9237
S5_1,-10.9037195917,11.7111
S5_2,-10.5586036652,12.2902
S5_3,-10.9094131884,12.1756
S6_1,-8.6737104866,10.3716
S6_2,-1.5071972026,9.3606
S6_3,-9.5467383504,10.696
S6/t_1,-4.9754854433,10.1476
S6/t_2,-0.018809665700000002,8.708
S6_4,-5.8689062565,9.9568
S6_5,-7.6489935005,10.3527
S6_6,-9.1272784025,10.3701
S7_4,-2.0805024676,10.7378
S7_5,-0.8307930598000001,10.7832
S7_6,-0.2820308872,10.53
S8_4,-0.7276926894,10.1633
S8_5,3.9405884898,10.1977
G135_1,-3.5504502244,11.4007
G135_3,-0.1937761392,9.8939
G150_1,-4.8574278178,11.4147
G150_2,-7.8684397318,11.7366
G150_3,-5.0681331892,11.9674
G180_1,-4.7018677986,11.6816
G180_2,-6.8697051865,12.1031
G180_3,-2.8262994473000003,11.2495
C30_1,0.8719273639,9.9121
C30_2,-0.9008635958000001,9.9274
