,nupG
Cr_1,-0.018088050907889508
Cr_2,-0.024943972836454727
Cr_3,-0.024851595520379625
Cr_4,-0.027344837887283216
Cr_5,-0.03446389039797675
Cr_6,-0.04060745825712932
Fe_1,-0.013027678860305442
Fe_2,-0.02392621395127618
Fe_3,-0.037263562771938284
Fe_4,-0.05114849170671425
Fe_5,-0.052552241710155836
Fe_6,-0.05503253029820171
Cd_1,-0.0019392915620819906
Cd_2,-0.003400089562601819
Cd_3,-0.00855760277389863
Cd_4,-0.010341031097616846
Cd_5,-0.010001419004317237
Cd_6,-0.00543147283813566
Zn_1,0.03362892509472863
Zn_2,0.303286160017459
Zn_3,0.4909362778255898
Zn_4,0.6249628318546131
Zn_5,0.9847875864095934
Zn_6,1.4633155010413197
Cu_1,0.009708018894631241
Cu_2,0.01859691142998428
Cu_3,0.034975840432690516
Cu_4,0.052569680573659065
Cu_5,0.06690652008588187
Cu_6,0.08332915580677043
Pb_1,0.00782129587004373
Pb_2,0.02084994754545173
Pb_3,0.033259959999645886
Pb_4,0.0439241832611865
Pb_5,0.05275468346695834
Pb_6,0.06732835221862249
