,hupB
Cr_1,-0.0038556327251412018
Cr_2,-0.006354254508520684
Cr_3,-0.009696656149690732
Cr_4,-0.010592638874940769
Cr_5,-0.015426036703537288
Cr_6,-0.0135760259313182
Fe_1,-0.01620241964798469
Fe_2,-0.037019582666487125
Fe_3,-0.05371509018810378
Fe_4,-0.07004715283364753
Fe_5,-0.07989256827705653
Fe_6,-0.0852513901788585
Cd_1,-0.0012774697748339052
Cd_2,0.0006890368585543968
Cd_3,0.005628719516445079
Cd_4,0.006076113440161033
Cd_5,0.006840967365107689
Cd_6,0.008996334932448537
Zn_1,-0.016600536256533353
Zn_2,-0.03238074612743837
Zn_3,-0.04132640484763773
Zn_4,-0.05079096091994389
Zn_5,-0.05888551963565521
Zn_6,-0.06418833031786045
Cu_1,0.02154720946002061
Cu_2,0.0423877245828313
Cu_3,0.06249440624221302
Cu_4,0.07550506979455714
Cu_5,0.08874439030912466
Cu_6,0.1052430146413226
Pb_1,0.009094407116494304
Pb_2,0.013681057151286535
Pb_3,0.019856099035323357
Pb_4,0.02424901510939236
Pb_5,0.02298544813016689
Pb_6,0.023052887519897498
