,nrdB
Cr_1,0.0002250345481779543
Cr_2,0.0040449542807104956
Cr_3,0.009391563514874768
Cr_4,0.00760721367786779
Cr_5,0.0063898407641231865
Cr_6,0.009587092906586586
Fe_1,-0.038633553939789005
Fe_2,-0.11668349312586675
Fe_3,-0.19116089761253213
Fe_4,-0.2030978461158809
Fe_5,-0.2381935569746981
Fe_6,-0.2607624832136711
Cd_1,0.016576751285903406
Cd_2,0.03238544566395078
Cd_3,0.05636562458313675
Cd_4,0.08637063292175295
Cd_5,0.12089342717658152
Cd_6,0.14117711728386864
Zn_1,-0.011537965898092492
Zn_2,-0.03867099242157175
Zn_3,-0.03072821118828925
Zn_4,0.004590520175294566
Zn_5,0.04065003613834155
Zn_6,0.052615722574207255
Cu_1,0.0076898702633036685
Cu_2,0.013038493648763229
Cu_3,0.020652713687106118
Cu_4,0.025178437854665472
Cu_5,0.03245694619489665
Cu_6,0.043010870996323405
Pb_1,-0.00057965793272128
Pb_2,-0.00027013496609426703
Pb_3,0.006457933305561289
Pb_4,0.01989009862524916
Pb_5,0.023650572465994217
Pb_6,0.02832297281910487
