,Value,list
TF,S-box,
reg_genes,40,"['cysP' 'sat' 'S570' 'sirB' 'mtnA' 'metQ' 'S1261' 'mtnK' 'ylnD' 'metK'
 'S1166' 'S484' 'S569' 'cysC' 'metP' 'cysH' 'BSU_misc_RNA_29' 'S1167'
 'ylnF']"
comp_genes,25,['guaD' 'pftA' 'BSU_misc_RNA_12' 'BSU_misc_RNA_31']
both_genes,21,"['mtnB' 'yxjG' 'mtnW' 'metI' 'S428' 'yoaD' 'yitJ' 'S689' 'S470' 'yxjH'
 'BSU_misc_RNA_15' 'mtnD' 'yoaC' 'mtnX' 'metC' 'metN' 'S688' 'S1499'
 'yoaB' 'metE' 'S469']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,12,
comp_ops,11,
both_ops,9,
