,A,OmpR
R2,,0.04552823577207177
xmin,,-7.328796361499999
xmid,,
xmax,,2.2841397175000004
ystart,,-4.792645502266833
yend,,6.3040501680786445
control__wt_glc__1,0.027689998843654,-0.012696667500000204
control__wt_glc__2,-0.0276899988437003,0.012696667499999316
fur__wt_dpd__1,4.878313862509593,0.8978087645000006
fur__wt_dpd__2,5.795261662508365,0.9841469155000002
fur__wt_fe__1,3.504152339844798,-0.3913158704999997
fur__wt_fe__2,3.4932828897786994,-0.16083179550000004
fur__delfur_dpd__1,5.370805536075588,1.0269929655
fur__delfur_dpd__2,6.381356819760311,0.7465730295000004
fur__delfur_fe2__1,0.9346423683210058,-0.015648523500000344
fur__delfur_fe2__2,1.0208361547252445,-0.07211176250000051
acid__wt_ph5__1,7.898771809633939,0.4808016694999999
acid__wt_ph5__2,7.995488640844238,0.4476175194999996
acid__delgadx_ph5__2,9.642267800871108,0.4763692064999994
acid__delgadw_ph5__1,8.401845188053208,0.3011434244999993
acid__delgadw_ph5__2,8.436184377690571,0.3620502045
acid__delgade_ph5__1,7.948042022458884,0.5208449364999996
acid__delgade_ph5__2,8.145219157091407,0.43887666849999984
oxidative__wt_pq__1,2.118624496239224,1.6675239164999986
oxidative__wt_pq__2,2.798138470267473,1.7681886635
oxidative__deloxyr_pq__1,3.371859277084246,2.266403347499999
oxidative__deloxyr_pq__2,3.489224104033846,2.2841397175000004
oxidative__delsoxr_pq__1,2.568142769388195,0.8586901354999998
oxidative__delsoxr_pq__2,2.4733285254090767,0.8787264794999992
oxidative__delsoxs_pq__1,2.4331382805208897,1.2742078985000005
oxidative__delsoxs_pq__2,2.2027245292130324,1.2808481675000003
nac_ntrc__wt_csn__1,2.658279861667127,0.5813607154999998
nac_ntrc__wt_csn__2,2.529893320482804,0.5250616164999995
nac_ntrc__wt_cytd__1,1.02110582564905,0.5383131135000001
nac_ntrc__wt_cytd__2,1.58092446265391,0.5782536755000001
nac_ntrc__wt_gln__1,2.1334773486652305,0.8457322554999998
nac_ntrc__wt_gln__2,2.603164351050644,0.9669782634999996
nac_ntrc__bw_delnac_csn__1,8.40835683719308,0.7899459955000001
nac_ntrc__bw_delnac_csn__2,8.290296825419107,1.2358673395000004
nac_ntrc__bw_delnac_cytd__1,5.487942822112573,0.6289478974999998
nac_ntrc__bw_delnac_cytd__2,5.629689420228054,0.4997017364999996
