,yedW
Cr_1,-0.0027646235532295194
Cr_2,-0.008113441344220582
Cr_3,-0.006389930476245233
Cr_4,-0.0030331822512139066
Cr_5,3.65046295241354e-05
Cr_6,0.005439835062336801
Fe_1,-0.02244908085144898
Fe_2,-0.032991452737925434
Fe_3,-0.042514756477934575
Fe_4,-0.05202292443890532
Fe_5,-0.05427718618790787
Fe_6,-0.06266171441698175
Cd_1,0.001701677919739181
Cd_2,0.002583069011312738
Cd_3,0.005769412402068118
Cd_4,0.009905349830682815
Cd_5,0.012528098696512328
Cd_6,0.018519888298812362
Zn_1,-0.01849699125739632
Zn_2,-0.032668761749356116
Zn_3,-0.013820538203021777
Zn_4,0.007911501100109703
Zn_5,0.012848081945020186
Zn_6,-0.0006628623597561902
Cu_1,0.003332575424031404
Cu_2,0.014136324573736475
Cu_3,0.021207066301048638
Cu_4,0.028255425784377917
Cu_5,0.028745968304660963
Cu_6,0.02920995444965292
Pb_1,0.014908322904592304
Pb_2,0.023424528065060148
Pb_3,0.044039168648652725
Pb_4,0.06349661160041532
Pb_5,0.07887155300404372
Pb_6,0.08731095121231157
