,A,PucR,TnrA,SigA
R2,,0.5953112783369696,0.10700467769153732,0.0
xmin,,7.2883,7.8426,10.6334
xmid,,9.530255937527743,11.164697035688414,
xmax,,11.7579,14.3757,14.8203
ystart,,0.3002312676825625,0.27921778295135624,0.7197202269415095
yend,,37.671236964384605,10.517954322942593,0.7197202269415095
LBexp_1,-0.6434067822,8.4755,9.7548,13.9229
LBexp_2,0.1089854481,8.5427,10.2473,13.6986
LBexp_3,0.5351970983000001,8.4719,9.6129,13.5366
LBtran_1,1.3875121156999999,8.5157,11.0498,13.5861
LBtran_2,2.7662929323,8.1916,10.1692,13.6947
LBtran_3,3.4027667771,8.4827,9.5051,13.6814
LBstat_1,-1.4411686457,8.0543,10.5426,13.746
LBstat_2,1.3600485101,8.1476,10.0035,13.8294
LBstat_3,2.1902927866,8.2173,9.802,13.7637
LBGexp_1,0.7670521411,8.297,9.1402,14.0966
LBGexp_2,0.950514288,8.3206,9.5952,13.9632
LBGexp_3,0.5093145367,8.2873,8.9451,14.2782
LBGtran_2,3.2784973596,8.1413,9.2633,13.6213
LBGtran_3,2.4021788132,8.6585,9.3078,13.9309
LBGstat_1,1.9963810394000001,7.2883,7.8693,13.8958
LBGstat_2,2.4977098296999998,7.5715,7.8426,13.2182
LBGstat_3,4.0140042699,7.9594000000000005,8.6751,12.9318
S0_1,5.7311837455,9.5927,12.1588,13.7975
S0_2,5.3257253297,9.1356,12.1555,13.5336
S0_3,4.8970249720000005,9.2219,12.1433,13.7362
S1_1,0.5957507716,9.6924,11.708,14.1328
S1_2,-0.1870722146,9.5552,11.8747,14.2092
S1_3,0.6208620938,9.5122,11.8722,14.064
S2_1,-1.2946992573,8.8673,11.4386,12.1327
S2_2,-0.036058388000000004,8.7569,10.8028,12.2083
S2_3,0.1204861883,8.56,10.6251,11.9224
S3_1,-1.6447957877000001,8.9513,11.5181,13.7874
S3_2,-2.2298223858,8.9425,11.7173,12.9115
S4_1,-2.2039564052,9.2797,11.4865,13.3174
S4_2,-1.0356157734,9.0985,10.9294,13.6235
S4_3,-0.25862405780000003,8.7598,10.4841,13.5395
S5_1,-3.5022669451,9.2895,11.1827,13.9484
S5_2,-3.7254632221,9.5484,11.7726,14.1419
S5_3,-3.5954991861,9.3628,11.5689,13.9735
S6_1,-0.7752792077,9.0806,10.3084,14.1058
S6_2,-0.3837269987,7.9971,9.3347,14.8051
S6_3,-1.2206975826,9.22,10.2414,13.7208
S6/t_1,-1.0679652484,9.1255,10.4181,14.058
S6/t_2,1.3513511577,7.8666,8.6925,14.1715
S6_4,-3.2241526469,8.5871,9.8818,13.8429
S6_5,-3.8060571925,8.9374,10.2057,14.2173
S6_6,-4.3239146315,9.0634,10.2612,14.1053
S7_4,-4.1629427749,9.0633,10.6665,13.8537
S7_5,-3.8712370648,8.8811,10.6123,13.728
S7_6,-3.4119084314,9.0443,10.4394,13.6696
S8_4,-2.9529848548,8.7587,10.2677,13.1727
S8_5,-0.6854436175,8.6471,10.2335,13.7501
G135_1,-0.5459326769,8.1474,9.5542,14.5319
G135_3,4.5339891131,7.7362,8.5803,12.9564
G150_1,-1.6530087743,8.115,8.9828,13.5516
G150_2,-1.9308179551,8.5323,9.7798,14.3711
G150_3,-2.8771471343,8.3245,9.292300000000001,14.2475
G180_1,-0.1013923151,7.9825,9.581,14.2981
G180_2,-0.6610289075,8.3056,9.9321,14.6324
G180_3,1.8272695731000002,7.7209,9.0395,13.5078
C30_1,3.6691469581,8.425,10.0344,13.9429
C30_2,4.1471262896,8.5415,10.0009,13.9782
C90_1,2.9847941117000003,8.5939,10.8288,13.9492
C90_2,1.6902940029,8.5978,11.156,14.0178
BI_1,-3.0423439424,8.0168,10.7586,13.9966
BI_2,-3.1490960085,8.0242,10.6147,14.2096
BC_2,-1.9132546482000001,8.6698,11.8241,14.5882
BC/t_1,-0.526142275,8.5825,11.1348,14.4731
BC/t_2,-1.2614556452,9.0577,11.8819,14.5832
BC_1,-0.8317018205000001,8.5066,10.9988,14.0031
Sw_1,4.7006437496,7.9928,10.3034,14.5375
Sw_2,4.5262386524,8.3983,10.5531,14.5394
BT_1,39.9649451042,11.7579,12.2585,14.0683
BT_2,40.7872871347,11.39,11.5416,13.4581
B36_1,-10.9115877295,8.359,8.927,13.5848
B36_2,-10.599767527400001,8.3753,9.0451,13.206
B60_1,-9.2323755596,8.1175,9.7432,12.6109
B60_2,-11.725345249,8.0669,11.1647,12.0737
