,-0.09451739560714285,-0.07997625782142857,-0.06543512003571429,-0.05089398225000001,-0.03635284446428573,-0.02181170667857145,-0.007270568892857168,0.007270568892857113,0.021811706678571394,0.036352844464285675,0.050893982249999956,0.06543512003571424,0.07997625782142852,0.0945173956071428,0.10905853339285708,0.12359967117857136,0.13814080896428566,0.1526819467499999,0.16722308453571422,0.18176422232142847
thresh,-0.1017879645,0.1017879645,8,,,,,,,,,,,,,,,,,
unreg,0,1,0,2,38,269,1925,1842,262,16,7,2,2,0,0,0,0,0,0,0
TnrA,0,0,0,3,5,5,16,22,9,1,2,0,1,0,0,1,0,0,0,0
SigA,1,1,1,5,26,100,621,512,102,18,1,0,0,0,0,0,0,0,0,0
PucR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TnrA and SigA,0,0,0,0,1,2,13,4,3,1,1,2,1,1,2,2,0,1,0,0
TnrA and PucR,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
SigA and PucR,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,0,0,0,0,0
"TnrA, SigA, and PucR",0,0,0,0,0,0,0,0,2,3,0,0,2,2,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
TnrA_genes,[],[],[],['yuiA' 'yodF' 'yoyD'],['yuiB' 'yycC' 'S1558' 'pel' 'yycB'],['yxkC' 'ywdK' 'yttA' 'yycA' 'S1428'],"['ywdJ' 'ywlG' 'ywdI' 'ysnD' 'alsT' 'appD' 'S403' 'ywlF' 'appF' 'hom'
 'S1492' 'appB' 'S1429' 'S674' 'thrC' 'S404']","['thrB' 'yfiS' 'lipC' 'yvgT' 'yfiR' 'glnM' 'oppB' 'S407' 'appC' 'appA/2'
 'oppC' 'glnP' 'appA/1' 'oppD' 'glnQ' 'oppF' 'oppA' 'S1041' 'S1054' 'ycsI'
 'pxpB' 'glnH']",['ycsG' 'S406' 'pxpC' 'S1245' 'kipR' 'S1493' 'pxpA' 'S134' 'S475'],['S405'],['yrbD' 'ywrD'],[],['tnrA'],[],[],['nasA'],[],[],[],[]
