,-0.20634367973684212,-0.18341660421052633,-0.16048952868421054,-0.13756245315789475,-0.11463537763157897,-0.09170830210526318,-0.06878122657894739,-0.0458541510526316,-0.022927075526315815,-2.7755575615628914e-17,0.02292707552631576,0.04585415105263155,0.06878122657894734,0.09170830210526312,0.11463537763157891,0.1375624531578947,0.1604895286842105,0.18341660421052627,0.20634367973684206,0.22927075526315785
thresh,-0.2178072175,0.2178072175,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,0,2,6,354,3481,440,10,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
