,A,XylR,Crp
R2,,0.3661563585071005,0.006870023178108475
xmin,,-2.8903843946,-9.852476477
xmid,,0.8542270717096214,
xmax,,5.6208131175,2.5388323397
ystart,,0.4820406029079276,3.0987321649410955
yend,,31.302366216679875,0.03755921482903013
aat__00m_00s__1,0.29436938100000004,0.2514760706,0.0344951212
aat__00m_30s__1,-0.6633294296000001,-0.023272774000000003,0.1435731223
aat__01m_00s__1,-0.688814498,0.24422942690000002,0.2534372822
aat__02m_00s__1,-0.3595110761,-0.0116501789,0.283920339
aat__05m_00s__1,0.024943722,-0.1870664718,0.3175329239
aat__10m_00s__1,-0.25257943,-0.3061140593,0.17602055360000002
aat__00m_00s__2,-0.11562756510000001,-0.0398093725,0.005256366
aat__00m_30s__2,-0.37204261050000004,0.10519286700000001,0.2819816342
aat__01m_00s__2,-0.0809528775,0.1815788717,0.2801678667
aat__02m_00s__2,-0.1667879385,0.3026750174,0.4762089513
aat__05m_00s__2,-0.1602694714,-0.1352133591,0.5370175003000001
aat__10m_00s__2,0.9796996049000001,0.077117483,0.5086233319
aat__00m_00s__3,-0.17874181590000002,-0.2116666981,-0.039751487200000005
aat__00m_30s__3,-0.3648226926,0.08097487290000001,0.2905320638
aat__01m_00s__3,-0.7376335536,-0.0631806162,0.1859933018
aat__02m_00s__3,0.3270371385,0.1077800763,0.3699621097
aat__05m_00s__3,0.0032602903,0.23271945130000002,0.5483756585
aat__10m_00s__3,0.6166498610000001,-0.1560335896,0.50143841
abx_mega__dmso-2__1,-0.5981238415,1.2758451878,-0.4516798918
abx_mega__ery_dmso__1,-0.8485182744,-0.0573368111,-1.8893970692000002
abx_mega__nal_naoh__1,-0.951868731,1.1217327019,-0.1701238306
abx_mega__dmso-5__1,0.9960318724,0.0638106468,0.1340371706
abx_mega__rif_dmso__1,4.2496040768,0.3511153099,-0.8477189713000001
abx_mega__novo_h2o__1,0.48557660150000004,-2.1317636648000002,0.1307715067
abx_mega__rach_dmso__1,-1.8815320764,-0.5770449623,-0.2340068764
abx_mega__metro_dmso__1,-0.4828052568,0.24429120140000002,-0.33700626310000004
abx_mega__dmso-6__1,0.9238289338000001,0.2478521568,-0.2857852433
abx_mega__chl_h2o__1,-0.5273605852000001,-0.6593742424,-2.9247054987
abx_mega__cst_h2o__1,0.45576531870000003,0.2954666975,0.0899715865
abx_mega__tec_h2o__1,-2.7425204096,-0.1568119373,-1.6070723407
abx_mega__str_h2o__1,0.24276616620000002,0.8934166942,-0.5390842036
abx_mega__ctx_h2o__1,0.7770449206000001,-0.0117218145,-0.0980165268
abx_mega__nal_naoh__2,-0.7416959736000001,0.5759291287,0.2016373309
abx_mega__phos_h2o__1,-0.256572955,-0.2548513717,-0.2490351859
abx_mega__dmso-5__2,0.9736015438000001,-0.016587515,0.0411821817
abx_mega__polmyx_h2o__1,-0.4643444635,-0.43901770300000004,0.0231238538
abx_mega__h2o-8b__1,-0.053854125600000004,0.12919555400000002,0.0476350313
abx_mega__h2o-6__1,-1.4088651043,0.055532757700000004,0.24713669740000002
abx_mega__thio_dmso__1,-1.7004780445,-1.072928726,-1.5465123927
abx_mega__phos_h2o__2,-0.5835175336,-0.20832028900000002,0.2066153554
abx_mega__ctx_h2o__2,0.11380639860000001,-0.393142056,-0.5157335737000001
abx_mega__lzd_dmso__1,-1.9111966847000001,-0.8951052105,-1.8223907651
abx_mega__naoh-9__1,-0.1637131859,0.08459380770000001,0.36042412560000003
abx_mega__dox_dmso__1,-1.4298724533,-1.0943435453,-1.3002511837
abx_mega__phos_ethanol__1,-0.22459826700000002,0.2850603078,0.3379205155
abx_mega__teix_dmso__1,-1.9322563652,-1.0033436626,-0.6834405493
abx_mega__dmso-10__1,1.9603787115,-0.1251477648,0.1656640608
abx_mega__van_dmso__1,0.0673939834,-0.9173000134,-0.9934080376000001
