,ybjC
Cr_1,-0.018848956859943356
Cr_2,-0.03675605134226423
Cr_3,-0.03830115562420321
Cr_4,-0.02363390338698464
Cr_5,-0.009304924024733614
Cr_6,0.013685782876361298
Fe_1,-0.0126663299436051
Fe_2,-0.0178735421822887
Fe_3,-0.010349360132097694
Fe_4,-0.00861564988086315
Fe_5,0.011263490090749529
Fe_6,0.022448385873210863
Cd_1,0.0019012293878153679
Cd_2,0.018034996671526343
Cd_3,0.015720272853041062
Cd_4,0.02604093118203768
Cd_5,0.029650673382004694
Cd_6,0.0439010607879894
Zn_1,0.028594462358655506
Zn_2,0.08518907248354607
Zn_3,0.1571360005333672
Zn_4,0.1327635117823665
Zn_5,0.10717473757463364
Zn_6,0.060746923006175686
Cu_1,0.038547887604069145
Cu_2,0.08343333075116781
Cu_3,0.15048470265633593
Cu_4,0.20841466383877705
Cu_5,0.27307210812020644
Cu_6,0.334455724641896
Pb_1,0.011447463892268429
Pb_2,0.027483761274122543
Pb_3,0.04466504928744212
Pb_4,0.05405747241960634
Pb_5,0.0694537098248676
Pb_6,0.08191162583741073
