,yhbO
Cr_1,0.00035696279158828613
Cr_2,-0.0021531928311298893
Cr_3,0.00035862029417885953
Cr_4,0.0007810897125020398
Cr_5,0.0002450282032365623
Cr_6,0.001807095065319168
Fe_1,-0.004851823440403917
Fe_2,-0.02055900331344126
Fe_3,-0.059824819480988535
Fe_4,-0.11753014285430552
Fe_5,-0.17230194330801415
Fe_6,-0.21777825031624995
Cd_1,0.0011233663045571369
Cd_2,0.0004113506641771019
Cd_3,0.0005820543647192084
Cd_4,0.0005993831879330839
Cd_5,-0.00426563294594898
Cd_6,-0.006962575486740852
Zn_1,0.0017260207463873447
Zn_2,-0.010613168390711436
Zn_3,-0.026938488913282474
Zn_4,-0.04051270406484712
Zn_5,-0.0610627904398919
Zn_6,-0.08178990870153242
Cu_1,-0.00231605876598079
Cu_2,0.0006920090778254434
Cu_3,-0.0009064483805388117
Cu_4,-0.0010540857636673518
Cu_5,-0.004046865832643171
Cu_6,-0.007913215348538635
Pb_1,0.01282199646113217
Pb_2,0.018832661683289842
Pb_3,0.022782776452962
Pb_4,0.045717608358937976
Pb_5,0.06255292416983754
Pb_6,0.07249178492042292
