,yraR
Cr_1,-0.005182682102432407
Cr_2,-0.0061554407653379856
Cr_3,-0.0007034471143810647
Cr_4,0.0036392595179125264
Cr_5,0.0126369265105723
Cr_6,0.01737408034781935
Fe_1,-0.031700286010059836
Fe_2,-0.07000517575594037
Fe_3,-0.12170200875044515
Fe_4,-0.17764562747603815
Fe_5,-0.2150740668970383
Fe_6,-0.24487931114803824
Cd_1,0.0022433136695296637
Cd_2,0.008876176644448844
Cd_3,0.014041502471688895
Cd_4,0.01831325605577944
Cd_5,0.015954806242696122
Cd_6,0.021925911218517283
Zn_1,-0.0009496459682329783
Zn_2,-0.008458456779439745
Zn_3,-0.017292416105800543
Zn_4,-0.024757461698469898
Zn_5,-0.031045225818822356
Zn_6,-0.043244759421324136
Cu_1,0.003124217955537869
Cu_2,0.008075248996703144
Cu_3,0.015797461861282898
Cu_4,0.026058317853374827
Cu_5,0.03387294784994089
Cu_6,0.04279410265404812
Pb_1,0.005856001075387847
Pb_2,0.007152167973899259
Pb_3,0.010644955535470584
Pb_4,0.016419547773064244
Pb_5,0.029013479841792332
Pb_6,0.03922963728387376
