locus,gene_weight,gene_name,gene_product,cog,operon,regulator,old_locus_tag,synonyms,link
SACI_RS04990,0.33458132038095273,csbC_1,MFS transporter,Amino acid transport and metabolism,Op549,,Saci_1045,,https://www.uniprot.org/uniprot/A0A0U3FYG8
SACI_RS03930,0.3080895256809197,Saci_0821,riboflavin synthase,Coenzyme transport and metabolism,Op433,,Saci_0821,,https://www.uniprot.org/uniprot/A0A0U3FF10
SACI_RS03935,0.2961969782473929,ribB,"3,4-dihydroxy-2-butanone-4-phosphate synthase",Coenzyme transport and metabolism,Op433,,Saci_0822,,https://www.uniprot.org/uniprot/A0A0U3F6Y4
SACI_RS03925,0.2453186338094956,ribH,"6,7-dimethyl-8-ribityllumazine synthase",Coenzyme transport and metabolism,Op433,,Saci_0820,,https://www.uniprot.org/uniprot/UPI00005523C3
SACI_RS03920,0.23354780317014676,gch3,GTP cyclohydrolase IIa,Function unknown,Op433,,Saci_0819,,https://www.uniprot.org/uniprot/A0A0U2Y7W8
SACI_RS03915,0.2323956237490208,mtaD_1,amidohydrolase family protein,Nucleotide transport and metabolism,Op433,,Saci_0818,,https://www.uniprot.org/uniprot/A0A0U2N979
