,clpB
Cr_1,-0.003073512342184117
Cr_2,-0.0015439074553061346
Cr_3,-0.00020305940677948988
Cr_4,0.0013322128140171787
Cr_5,0.0018947231909024192
Cr_6,0.0007926781829581557
Fe_1,-0.012894148475166059
Fe_2,-0.03183699950854965
Fe_3,-0.03309997406842119
Fe_4,-0.02555735562424164
Fe_5,-0.009733823843806985
Fe_6,0.00678614599395217
Cd_1,0.0008786951366618862
Cd_2,0.002947349991061466
Cd_3,0.007620071557294852
Cd_4,0.012787721868917249
Cd_5,0.013611917381793485
Cd_6,0.016671773823267476
Zn_1,-0.0009814892791002619
Zn_2,0.010292037999307049
Zn_3,0.0338863509332513
Zn_4,0.06684843519827056
Zn_5,0.09686170051142648
Zn_6,0.12300137838900478
Cu_1,0.0021249057826452622
Cu_2,0.00630168878075798
Cu_3,0.007921707721596928
Cu_4,0.01282578181115986
Cu_5,0.02295730764821953
Cu_6,0.031069311543892718
Pb_1,0.001306499343716275
Pb_2,0.003838668012859173
Pb_3,0.006187846689271059
Pb_4,0.01255139315185914
Pb_5,0.016374909469788094
Pb_6,0.022471616091168583
