,yjdK
Cr_1,0.012693923042956795
Cr_2,0.027639396789685328
Cr_3,0.0456168724586024
Cr_4,0.04458802171524779
Cr_5,0.057659826492821024
Cr_6,0.07127414606695902
Fe_1,-0.00792251761862951
Fe_2,-0.027092400200354118
Fe_3,-0.040407299388076766
Fe_4,-0.04597581822531481
Fe_5,-0.056586002486416175
Fe_6,-0.05272859933194863
Cd_1,0.010242943274447556
Cd_2,0.0301474144740836
Cd_3,0.045199334251522935
Cd_4,0.04499663347912942
Cd_5,0.040947212061952
Cd_6,0.057474056363808035
Zn_1,-0.004346140782172694
Zn_2,-0.010064684056855072
Zn_3,-0.00624373316344918
Zn_4,0.00701315781811575
Zn_5,0.016603814525738832
Zn_6,0.02153144385188076
Cu_1,-0.004272983809314432
Cu_2,-0.004080236389982167
Cu_3,-0.0039234080137908476
Cu_4,-0.0024963176684093705
Cu_5,-0.0028574838657153536
Cu_6,-0.002812783463314651
Pb_1,0.005791656005116859
Pb_2,0.004934903721334222
Pb_3,0.008528872092675003
Pb_4,0.008567506280361379
Pb_5,0.01140694470423012
Pb_6,0.008242681512975508
