,ybjL
Cr_1,0.00419730604149914
Cr_2,0.00798248075070651
Cr_3,0.011986849593735556
Cr_4,0.01272479119021689
Cr_5,0.016706941493908826
Cr_6,0.018582649447535404
Fe_1,-0.0027846908172324053
Fe_2,-0.009704626810258405
Fe_3,-0.009879126192930037
Fe_4,-0.0020503293575435035
Fe_5,0.005735594667973072
Fe_6,0.013916370799128766
Cd_1,0.004795932726887674
Cd_2,0.011650080189407138
Cd_3,0.017228222733578775
Cd_4,0.021717609951067418
Cd_5,0.02008343902481248
Cd_6,0.021809990973532745
Zn_1,0.0005819362859640037
Zn_2,0.010330843849688614
Zn_3,0.01991132293443191
Zn_4,0.033004436889147615
Zn_5,0.04345766308411984
Zn_6,0.048546394512716924
Cu_1,0.005773210376718868
Cu_2,0.015528613212941356
Cu_3,0.019662874370619487
Cu_4,0.02690994721138525
Cu_5,0.027857551159191498
Cu_6,0.033274124731402996
Pb_1,0.0102333014342505
Pb_2,0.01648231511649088
Pb_3,0.02492452109369037
Pb_4,0.033328791702880944
Pb_5,0.038465179929356566
Pb_6,0.054529107578690186
