,mraZ
Cr_1,-0.003407553844661907
Cr_2,0.0026449024428968322
Cr_3,0.013397735752565414
Cr_4,0.01796123118354354
Cr_5,0.02527911557870634
Cr_6,0.01887563541954557
Fe_1,-0.013027098033812069
Fe_2,-0.03133758023586912
Fe_3,-0.06871087836833846
Fe_4,-0.12698974597267038
Fe_5,-0.17568471045931328
Fe_6,-0.2037970514802632
Cd_1,0.011994625608697296
Cd_2,0.02276740819033624
Cd_3,0.018804741231552426
Cd_4,0.02106072161417491
Cd_5,0.00589090111844873
Cd_6,0.010248974247859382
Zn_1,0.008053194257416862
Zn_2,0.02111366498130903
Zn_3,0.061730987923857485
Zn_4,0.11533790639593958
Zn_5,0.14053487500419318
Zn_6,0.15883044795477605
Cu_1,0.03992604499004905
Cu_2,0.06593029755785265
Cu_3,0.12277691444259264
Cu_4,0.15709116719372598
Cu_5,0.17581710688019106
Cu_6,0.1910626529198949
Pb_1,-0.006139902976397151
Pb_2,-0.005095652133366818
Pb_3,-0.0010842915342479018
Pb_4,0.0009994008375308248
Pb_5,0.011976522530855856
Pb_6,0.02748214027632373
