,A,FecI
R2,,0.19678249050814278
xmin,,-5.290203177
xmid,,-1.9875926652975553
xmax,,2.765842927
ystart,,-1.1343043928306753
yend,,2.7545901024885513
ecoli_00001,-0.1402554282,-0.090237279
ecoli_00002,0.1402554282,0.090237279
ecoli_00003,6.1640873056,2.7307349160000003
ecoli_00004,5.5862200525,2.765842927
ecoli_00005,-0.2623938657,-0.7815619730000001
ecoli_00006,-0.2967355852,-0.968169378
ecoli_00007,5.068295275,2.66799601
ecoli_00008,4.626307143,2.374256679
ecoli_00009,4.1378656372,2.553371131
ecoli_00010,4.3457901685,2.585844679
ecoli_00011,0.5010391697000001,-0.15703518200000002
ecoli_00012,0.7779839975,-0.32185403300000004
ecoli_00014,-0.8623255231,-0.707227991
ecoli_00015,-0.6092848865,-2.071091928
ecoli_00016,-0.3898621792,-1.835890167
ecoli_00017,0.5183418771,-0.364478852
ecoli_00018,0.2140106608,-0.35208778500000004
ecoli_00019,1.1990513427,1.9377858360000002
ecoli_00020,1.4877395396,2.107944456
ecoli_00021,0.5792088933,1.698460072
ecoli_00022,1.0980251774,1.6406555250000001
ecoli_00023,1.5476208183,2.34937465
ecoli_00024,1.9293247873000001,2.330260426
ecoli_00025,1.3937744577,2.291982436
ecoli_00026,1.3237424865,2.165663233
ecoli_00027,0.9977487917000001,-0.225706293
ecoli_00028,1.0077620052,0.177984682
ecoli_00029,1.4333906194,0.260339366
ecoli_00030,0.7441757426000001,0.304547287
ecoli_00031,-0.23725577390000002,-0.981706226
ecoli_00032,-0.06583159870000001,-1.061807972
ecoli_00033,1.5850060012,0.34048453900000003
ecoli_00034,3.5710928823,0.8935634450000001
ecoli_00035,0.6913174113,-0.36296213800000005
ecoli_00036,0.8235377377,-0.440953446
ecoli_00037,1.8267252117,0.314862594
ecoli_00038,1.8351344906,0.37582149400000003
ecoli_00039,-0.0783089981,-0.344152163
ecoli_00040,0.9005160951000001,-0.41698991300000005
ecoli_00041,3.8009887826,2.447852791
ecoli_00042,3.7594389658000003,2.458868205
ecoli_00043,1.320268545,0.39534203300000004
ecoli_00044,1.1397758654,0.524391138
ecoli_00045,-0.06916355760000001,-0.5228517970000001
ecoli_00046,0.10555919550000001,-0.5014012520000001
ecoli_00047,2.1659989378,1.183407527
ecoli_00048,2.5763635026,1.283514489
ecoli_00049,0.5612588287,0.182788521
ecoli_00050,0.8975962740000001,-1.220165939
ecoli_00051,0.2979189249,-1.5786422390000001
ecoli_00052,1.0553251258,-0.7034868280000001
ecoli_00053,0.7824850689,-0.863565801
ecoli_00054,2.1788047099,-1.8407800120000002
ecoli_00055,2.2793240131,-1.5193264910000002
ecoli_00056,0.2509943957,-0.468166509
ecoli_00057,-0.48972914310000004,-0.284752129
ecoli_00058,0.2370957903,-0.576986446
ecoli_00059,0.0678520514,-0.594914075
ecoli_00060,0.9982581349,-0.075358253
ecoli_00061,0.9506413951,0.029376452
ecoli_00062,1.2658384127,-0.42248438400000005
