,argF
Cr_1,-0.002211431424551509
Cr_2,-0.002558754645285573
Cr_3,-0.009959997208608323
Cr_4,-0.018499426311947842
Cr_5,-0.02431065341669337
Cr_6,-0.03280156137913943
Fe_1,0.008399480053358834
Fe_2,0.06888446746624861
Fe_3,0.12849816848566525
Fe_4,0.18739382739833216
Fe_5,0.24153303656790046
Fe_6,0.2940581654964638
Cd_1,0.0051527753777108574
Cd_2,0.011584870374177159
Cd_3,0.011432537286277323
Cd_4,0.009942834127839164
Cd_5,0.00385348871101256
Cd_6,0.006810479458580293
Zn_1,-0.0018951713812704872
Zn_2,0.005603766493182716
Zn_3,0.00629639603088281
Zn_4,0.004401477699333002
Zn_5,-2.563048722099699e-05
Zn_6,-0.004088789438079096
Cu_1,0.00656654595558297
Cu_2,0.02144839769111992
Cu_3,0.03625387864140785
Cu_4,0.037118337024777424
Cu_5,0.04234136948888559
Cu_6,0.0430440360426679
Pb_1,-0.00015900421684581477
Pb_2,0.008080623337081977
Pb_3,0.01893671630456041
Pb_4,0.027976666556325747
Pb_5,0.038866319661697575
Pb_6,0.054135472789894716
