,ytfE
Cr_1,-0.0054073530830162225
Cr_2,-0.00881986245918431
Cr_3,0.008938141941609705
Cr_4,0.013617257893992662
Cr_5,0.02015668223611234
Cr_6,0.023631089502136774
Fe_1,-0.08447385516033484
Fe_2,-0.13127329902670454
Fe_3,-0.1704949175295129
Fe_4,-0.19083562509860974
Fe_5,-0.18517035627527648
Fe_6,-0.16443368934571845
Cd_1,-0.0007836610558230111
Cd_2,0.005374832613257202
Cd_3,0.010656972856912013
Cd_4,0.012214360401396306
Cd_5,0.021336303070586246
Cd_6,0.03283010139222296
Zn_1,0.014417673814568353
Zn_2,-0.01078308656707486
Zn_3,-0.010236825270416508
Zn_4,0.00814747347123624
Zn_5,0.016730363729396215
Zn_6,0.041322281236185636
Cu_1,0.027788860248161736
Cu_2,0.09633222815287294
Cu_3,0.16314525477117264
Cu_4,0.20602321468366933
Cu_5,0.2398117173644108
Cu_6,0.2696895764287381
Pb_1,0.003159174099026022
Pb_2,0.008467855635722773
Pb_3,0.05086259622681486
Pb_4,0.06952569541517263
Pb_5,0.06855930685477826
Pb_6,0.06216119346279835
