,nrdH
Cr_1,-0.0034502302998115787
Cr_2,-0.007178933973424859
Cr_3,-0.0033375277905660318
Cr_4,-0.001443792245466652
Cr_5,0.0021371165400431128
Cr_6,0.009251933452484115
Fe_1,-0.029143124919053725
Fe_2,-0.10706470989544836
Fe_3,-0.22663767710400334
Fe_4,-0.37567924679768505
Fe_5,-0.5381686875578172
Fe_6,-0.7069723431413857
Cd_1,0.017714167742197744
Cd_2,0.017154825830492052
Cd_3,0.07226862018128284
Cd_4,0.07187382609688235
Cd_5,0.09004319617830409
Cd_6,0.0871229933486091
Zn_1,-0.017846084414760214
Zn_2,-0.010229438600093932
Zn_3,0.024317257045524742
Zn_4,0.08265282500318573
Zn_5,0.11333009729228878
Zn_6,0.15230731569592254
Cu_1,0.2804338010718198
Cu_2,0.6260797761606856
Cu_3,0.8393975937874062
Cu_4,0.9606384139271174
Cu_5,1.0495471611889928
Cu_6,1.1059476846920735
Pb_1,0.002244308865727464
Pb_2,-0.011702561112437762
Pb_3,-0.011045530089404223
Pb_4,-0.003608270677358177
Pb_5,-0.01668559478450542
Pb_6,-0.017576496360975316
