,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,LB__LBexp,15.341299999999999,0.2094490630201051,3.0,0.0,15.4878,1.0,15.4347,2.0,15.1014,,,,,,,,,,
1,LB__LBtran,13.1475,0.709580065954505,3.0,3.0,12.7962,4.0,13.9642,5.0,12.6821,,,,,,,,,,
2,LB__LBstat,12.222733333333332,0.025091897762690385,3.0,6.0,12.2517,7.0,12.2088,8.0,12.2077,,,,,,,,,,
3,LB__LBGexp,14.8727,0.11490200172320705,3.0,9.0,14.9614,10.0,14.7429,11.0,14.9138,,,,,,,,,,
4,LB__LBGtran,13.44795,1.211768890919386,2.0,12.0,12.5911,13.0,14.3048,,,,,,,,,,,,
5,LB__LBGstat,12.616666666666667,0.49911524053402023,3.0,14.0,13.1688,15.0,12.4837,16.0,12.1975,,,,,,,,,,
6,Life Cycle__S0,15.2571,0.2705996858830408,3.0,17.0,15.0041,18.0,15.2248,19.0,15.5424,,,,,,,,,,
7,Life Cycle__S1,14.582299999999998,0.2489154675788552,3.0,20.0,14.5312,21.0,14.8528,22.0,14.3629,,,,,,,,,,
8,Life Cycle__S2,13.056266666666668,0.8204350939186675,3.0,23.0,13.9696,24.0,12.8175,25.0,12.3817,,,,,,,,,,
9,Life Cycle__S3,13.8461,0.22754696218583073,2.0,26.0,14.007,27.0,13.6852,,,,,,,,,,,,
10,Life Cycle__S4,13.389733333333334,0.5270261125725494,3.0,28.0,13.9359,29.0,13.3491,30.0,12.8842,,,,,,,,,,
11,Life Cycle__S5,13.493400000000001,0.27086446795399366,3.0,31.0,13.1934,32.0,13.5668,33.0,13.72,,,,,,,,,,
12,Life Cycle__S6,12.5596375,0.6022075127336565,8.0,34.0,12.6938,35.0,11.9099,36.0,12.2548,37.0,12.4521,38.0,11.7882,39.0,12.5976,40.0,13.2976,41.0,13.4831
13,Life Cycle__S7,13.398733333333332,0.2759580825656921,3.0,42.0,13.7025,43.0,13.3302,44.0,13.1635,,,,,,,,,,
14,Life Cycle__S8,13.17875,0.11943033534240713,2.0,45.0,13.0943,46.0,13.2632,,,,,,,,,,,,
15,Life Cycle__G135,14.9344,0.6184355908257552,2.0,47.0,15.3717,48.0,14.4971,,,,,,,,,,,,
16,Life Cycle__G150,15.104399999999998,0.6623284457125482,3.0,49.0,14.7655,50.0,15.8676,51.0,14.6801,,,,,,,,,,
17,Life Cycle__G180,14.780633333333332,0.3945342866384788,3.0,52.0,14.735,53.0,15.196,54.0,14.4109,,,,,,,,,,
18,Stress Time Course__C30,14.95885,0.48217611409110595,2.0,55.0,14.6179,56.0,15.2998,,,,,,,,,,,,
19,Stress Time Course__C90,13.069849999999999,0.19806060941035136,2.0,57.0,12.9298,58.0,13.2099,,,,,,,,,,,,
20,Biofilm__BI,12.9499,0.051335952314143035,2.0,59.0,12.9862,60.0,12.9136,,,,,,,,,,,,
21,Biofilm__BC,11.774375000000001,0.6874946466458243,4.0,61.0,11.522,62.0,12.1587,63.0,12.4823,64.0,10.9345,,,,,,,,
22,Biofilm__Sw,11.6495,0.20605091603775955,2.0,65.0,11.7952,66.0,11.5038,,,,,,,,,,,,
23,Life Cycle__BT,12.13925,0.8299312290786509,2.0,67.0,12.7261,68.0,11.5524,,,,,,,,,,,,
24,Life Cycle__B36,11.1936,0.20916218587498064,2.0,69.0,11.3415,70.0,11.0457,,,,,,,,,,,,
25,Life Cycle__B60,11.96435,1.0323051898542401,2.0,71.0,11.2344,72.0,12.6943,,,,,,,,,,,,
26,M9__M9exp,14.796566666666669,0.3708603555697664,3.0,73.0,15.1841,74.0,14.445,75.0,14.7606,,,,,,,,,,
27,M9__M9tran,14.1471,0.2553035252400565,3.0,76.0,14.2794,77.0,13.8528,78.0,14.3091,,,,,,,,,,
28,M9__M9stat,11.682900000000002,0.23680766457190497,3.0,79.0,11.9208,80.0,11.6807,81.0,11.4472,,,,,,,,,,
29,Supplement__M+G,14.018433333333334,1.0664039259742684,3.0,82.0,12.7871,83.0,14.6431,84.0,14.6251,,,,,,,,,,
30,Supplement__Glu,14.938233333333335,0.17893284587613678,3.0,85.0,14.9068,86.0,14.7771,87.0,15.1308,,,,,,,,,,
31,Supplement__Fru,14.764866666666668,0.5022397269564932,3.0,88.0,15.2037,89.0,14.8738,90.0,14.2171,,,,,,,,,,
32,Supplement__Mal,13.5334,0.8290373393279703,3.0,91.0,12.5764,92.0,14.0323,93.0,13.9915,,,,,,,,,,
33,Supplement__G+S,13.977350000000001,0.2580232644549715,2.0,94.0,13.7949,95.0,14.1598,,,,,,,,,,,,
34,Supplement__Pyr,14.069400000000002,0.4002402653407072,3.0,96.0,13.7341,97.0,14.5125,98.0,13.9616,,,,,,,,,,
35,Supplement__Gly,13.304366666666667,0.7624279791123443,3.0,99.0,13.0894,100.0,14.1512,101.0,12.6725,,,,,,,,,,
36,Supplement__Glucon,13.3795,0.4573509921274908,3.0,102.0,13.6419,103.0,13.6452,104.0,12.8514,,,,,,,,,,
37,Stressors__aero,14.717233333333333,0.924690133684433,3.0,105.0,15.5134,106.0,13.703,107.0,14.9353,,,,,,,,,,
38,Stressors__nit,14.269366666666668,0.5340581085737142,3.0,108.0,14.5371,109.0,14.6166,110.0,13.6544,,,,,,,,,,
39,Stressors__ferm,13.954433333333334,0.5745929457740792,3.0,111.0,13.9425,112.0,13.3859,113.0,14.5349,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,14.6078,,1.0,114.0,14.6078,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,15.1265,,1.0,115.0,15.1265,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,14.8266,,1.0,116.0,14.8266,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,14.5502,,1.0,117.0,14.5502,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,14.2838,,1.0,118.0,14.2838,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,14.0943,,1.0,119.0,14.0943,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,14.2486,,1.0,120.0,14.2486,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,14.068,,1.0,121.0,14.068,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,12.527,,1.0,122.0,12.527,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,12.753,,1.0,123.0,12.753,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,12.3414,,1.0,124.0,12.3414,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,12.4125,,1.0,125.0,12.4125,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,12.9961,,1.0,126.0,12.9961,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,12.5393,,1.0,127.0,12.5393,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,12.7857,,1.0,128.0,12.7857,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,12.853,,1.0,129.0,12.853,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,12.5895,,1.0,130.0,12.5895,,,,,,,,,,,,,,
57,Stressors__HPh,15.528933333333333,0.18976412551726796,3.0,131.0,15.6256,132.0,15.3103,133.0,15.6509,,,,,,,,,,
58,Stressors__LPh,15.712466666666666,0.1956062967629967,3.0,134.0,15.8255,135.0,15.8253,136.0,15.4866,,,,,,,,,,
59,Stressors__LPhT,14.1689,0.2122899667907085,3.0,137.0,13.9612,138.0,14.16,139.0,14.3855,,,,,,,,,,
60,Stressors__SMMPr,13.797333333333333,0.4013990823772937,3.0,140.0,14.2523,141.0,13.4932,142.0,13.6465,,,,,,,,,,
61,Stressors__HiTm,14.490066666666669,1.1918624934669826,3.0,143.0,13.1513,144.0,14.8832,145.0,15.4357,,,,,,,,,,
62,Stressors__LoTm,13.845266666666666,0.428627826130471,3.0,146.0,14.3402,147.0,13.5962,148.0,13.5994,,,,,,,,,,
63,Stressors__HiOs,14.4741,0.13261587386131368,3.0,149.0,14.4077,150.0,14.6268,151.0,14.3878,,,,,,,,,,
64,Stressors__BMM,14.8182,0.17698689217001354,3.0,152.0,14.9816,153.0,14.8428,154.0,14.6302,,,,,,,,,,
65,Stressors__Heat,14.4221,0.6951101279653464,3.0,155.0,14.8708,156.0,14.7741,157.0,13.6214,,,,,,,,,,
66,Stressors__Cold,14.4595,1.0371555379980384,3.0,158.0,15.6091,159.0,14.1754,160.0,13.594,,,,,,,,,,
67,Stressors__Etha,12.079466666666667,0.7951485039496293,3.0,161.0,12.6779,162.0,11.1772,163.0,12.3833,,,,,,,,,,
68,Stress Time Course__SMM,14.627433333333334,0.09788270191067096,3.0,164.0,14.5741,165.0,14.7404,166.0,14.5678,,,,,,,,,,
69,Stress Time Course__Salt,14.682333333333332,0.17393379008500123,3.0,167.0,14.8593,168.0,14.6761,169.0,14.5116,,,,,,,,,,
70,Stress Time Course__Mt0,15.4473,0.1736654254594158,2.0,170.0,15.5701,171.0,15.3245,,,,,,,,,,,,
71,Stress Time Course__M0t45,14.694666666666668,0.4132662257350984,3.0,172.0,14.4842,173.0,15.1708,174.0,14.429,,,,,,,,,,
72,Stress Time Course__M0t90,11.382933333333334,1.1096411191612057,3.0,175.0,10.47,176.0,12.618,177.0,11.0608,,,,,,,,,,
73,Stress Time Course__M40t45,13.634599999999999,0.9195606070292482,3.0,178.0,13.5627,179.0,12.7531,180.0,14.588,,,,,,,,,,
74,Stress Time Course__M40t90,11.476833333333333,0.40990162640971955,3.0,181.0,11.183,182.0,11.9451,183.0,11.3024,,,,,,,,,,
75,Stress Time Course__dia0,15.227166666666667,0.12260343932098039,3.0,184.0,15.1536,185.0,15.1592,186.0,15.3687,,,,,,,,,,
76,Stress Time Course__dia5,14.041933333333333,0.4300503497653894,3.0,187.0,13.6122,188.0,14.0413,189.0,14.4723,,,,,,,,,,
77,Stress Time Course__dia15,14.6825,0.7262806138125946,3.0,190.0,14.6748,191.0,15.4126,192.0,13.9601,,,,,,,,,,
78,Stressors__Diami,14.025833333333333,0.3076110747897959,3.0,193.0,14.1975,194.0,13.6707,195.0,14.2093,,,,,,,,,,
79,Stressors__Paraq,14.882399999999999,1.366359356099266,3.0,196.0,15.4931,197.0,15.8369,198.0,13.3172,,,,,,,,,,
80,Stressors__H2O2,14.516566666666668,0.3054345319922644,3.0,199.0,14.1761,200.0,14.7665,201.0,14.6071,,,,,,,,,,
81,Stressors__Oxctl,15.078233333333335,0.8581977705245643,3.0,202.0,14.1133,203.0,15.3653,204.0,15.7561,,,,,,,,,,
82,Carbon Transition__GM-0.1,15.0316,0.1798753179288362,3.0,205.0,14.9405,215.0,15.2388,225.0,14.9155,,,,,,,,,,
83,Carbon Transition__GM-0.2,14.636066666666666,0.4088595398585356,3.0,206.0,14.4696,216.0,14.3367,226.0,15.1019,,,,,,,,,,
84,Carbon Transition__GM+5,14.923366666666666,0.616149805918442,3.0,207.0,14.2432,217.0,15.0827,227.0,15.4442,,,,,,,,,,
85,Carbon Transition__GM+15,14.965466666666666,0.040685419173622284,3.0,208.0,14.9952,219.0,14.9191,229.0,14.9821,,,,,,,,,,
86,Carbon Transition__GM+25,15.042,0.7384596942284667,3.0,209.0,15.5756,220.0,15.3512,230.0,14.1992,,,,,,,,,,
87,Carbon Transition__GM+45,14.396466666666667,0.889663696760373,3.0,210.0,15.4062,221.0,14.0554,231.0,13.7278,,,,,,,,,,
88,Carbon Transition__GM+60,14.167133333333332,0.9675807063668296,3.0,211.0,15.2831,222.0,13.5625,232.0,13.6558,,,,,,,,,,
89,Carbon Transition__GM+90,14.8048,0.8754907823615278,3.0,212.0,15.2538,223.0,15.3647,233.0,13.7959,,,,,,,,,,
90,Carbon Transition__GM+120,14.081299999999999,0.17097841969090688,2.0,213.0,14.2022,234.0,13.9604,,,,,,,,,,,,
91,Carbon Transition__GM+150,14.529966666666667,0.24271343871597503,3.0,214.0,14.8089,224.0,14.4141,235.0,14.3669,,,,,,,,,,
92,Carbon Transition__GM+10,14.641950000000001,0.26976123702266847,2.0,218.0,14.8327,228.0,14.4512,,,,,,,,,,,,
93,Carbon Transition__MG-0.1,14.778,0.9801925168047347,3.0,236.0,15.0547,244.0,13.6892,254.0,15.5901,,,,,,,,,,
94,Carbon Transition__MG+5,14.905466666666667,0.17478868193717026,3.0,237.0,14.9213,246.0,14.7233,256.0,15.0718,,,,,,,,,,
95,Carbon Transition__MG+10,14.8446,0.9400921816502888,3.0,238.0,15.5555,247.0,15.1996,257.0,13.7787,,,,,,,,,,
96,Carbon Transition__MG+15,14.922766666666666,0.25580041699210226,3.0,239.0,14.8305,248.0,14.7259,258.0,15.2119,,,,,,,,,,
97,Carbon Transition__MG+25,14.885733333333334,0.2964962450577298,3.0,240.0,15.1509,249.0,14.5656,259.0,14.9407,,,,,,,,,,
98,Carbon Transition__MG+45,15.0514,0.5910707910225308,3.0,241.0,14.9808,250.0,14.4988,260.0,15.6746,,,,,,,,,,
99,Carbon Transition__MG+120,14.104066666666668,0.5614110823036303,3.0,242.0,13.6061,253.0,14.7125,263.0,13.9936,,,,,,,,,,
100,Carbon Transition__MG+150,14.6748,0.48507525189397155,2.0,243.0,14.3318,264.0,15.0178,,,,,,,,,,,,
