,dicB
Cr_1,0.008034341293315693
Cr_2,0.01695895436624311
Cr_3,0.018810889809481732
Cr_4,0.020176423551607352
Cr_5,0.020578710749158662
Cr_6,0.019319502255091558
Fe_1,-0.011939448146999892
Fe_2,-0.023401851998307296
Fe_3,-0.030133160943046567
Fe_4,-0.039203741779985334
Fe_5,-0.03904479105330758
Fe_6,-0.036217647562967095
Cd_1,0.0005861930519451237
Cd_2,0.0045892597862211655
Cd_3,0.0030937181399818487
Cd_4,0.002636686663676661
Cd_5,-0.0014322795963282711
Cd_6,0.00022688409028143218
Zn_1,-0.003793960606721281
Zn_2,-0.00507825566595926
Zn_3,0.0054187316429669475
Zn_4,0.017170766888540752
Zn_5,0.030611164322877343
Zn_6,0.04095275678582422
Cu_1,0.004990051306764237
Cu_2,0.005065037241477575
Cu_3,0.006698749501732614
Cu_4,0.006487717686648564
Cu_5,0.006971069172102849
Cu_6,0.012080308290045992
Pb_1,0.010674740208341624
Pb_2,0.01785646172358222
Pb_3,0.015892961338739017
Pb_4,0.021389405480086547
Pb_5,0.023949705717444016
Pb_6,0.028220174222655763
