,-0.06696051125815157,-0.05356840900652125,-0.040176306754890936,-0.02678420450326062,-0.013392102251630303,1.3877787807814457e-17,0.01339210225163033,0.026784204503260647,0.040176306754890964,0.05356840900652128,0.0669605112581516,0.08035261350978191,0.09374471576141223,0.10713681801304255,0.12052892026467286,0.13392102251630317,0.1473131247679335,0.1607052270195638,0.17409732927119415,0.18748943152282443
thresh,-0.033480255629075785,0.033480255629075785,1,,,,,,,,,,,,,,,,,
unreg,1,1,5,35,752,3068,343,39,20,8,7,3,5,8,14,10,6,0,0,0
unreg_genes,['yozZ'],['youB'],['murF' 'trpA' 'guaA' 'ndhF' 'moaB'],[],[],[],[],[],"['yopJ' 'yopB' 'yorB' 'yolB' 'yjdH' 'narK' 'yopD' 'yolA' 'bhlA' 'yopS'
 'yrdP' 'yokB' 'rocB' 'alsD' 'lctP' 'bhlB' 'yopC' 'narI' 'rocA' 'spbT']",['narJ' 'yomK' 'yomJ' 'yonU' 'alsS' 'narH' 'yopT' 'narG'],['lctE' 'yoqJ' 'yomG' 'BSU_21058' 'yopU' 'sunA' 'yomH'],['yopM' 'yoqG' 'yopP'],['yopQ' 'yopR' 'yopO' 'aimR' 'yopV'],['yorD' 'yotK' 'yopN' 'yoqY' 'yonV' 'yoqS' 'yorY' 'yorA'],"['yonP' 'yotJ' 'yopA' 'yosW' 'pghZ' 'yosD' 'yoqF' 'yoqR' 'yoqI' 'yoqE'
 'yoqH' 'yosB' 'yorZ' 'yosC']",['yojW' 'yotB' 'yosF' 'yorT' 'yonX' 'yosX' 'yosH' 'sprB' 'yosI' 'yosG'],['hupN' 'yorE' 'yosJ' 'yosK' 'yosE' 'aimP'],[],[],[]
