,cysS
Cr_1,-0.001161817479060315
Cr_2,-0.006628697430302235
Cr_3,-0.005615921068924314
Cr_4,-0.004940806026317043
Cr_5,-0.006397950123448852
Cr_6,-0.016130681593848832
Fe_1,-0.010763358498880571
Fe_2,-0.01887555915976606
Fe_3,-0.014770773669006162
Fe_4,-0.0044849300262033934
Fe_5,-0.007060493602443312
Fe_6,-0.0008316046759040064
Cd_1,0.00637161833296999
Cd_2,0.013944834651533587
Cd_3,0.026668887751687825
Cd_4,0.03743137825473308
Cd_5,0.04166872588398522
Cd_6,0.037223934829206745
Zn_1,-0.040109824044428484
Zn_2,-0.050309364316744286
Zn_3,-0.026480772461443317
Zn_4,-0.01931938836247829
Zn_5,-0.012093645151539332
Zn_6,0.013439727417212506
Cu_1,0.00485394203463961
Cu_2,0.008320246782985492
Cu_3,0.023245690141638586
Cu_4,0.0331929608827873
Cu_5,0.040553354516433535
Cu_6,0.055714069600244435
Pb_1,0.0030778662372930358
Pb_2,0.006169125261770128
Pb_3,0.009902919322712516
Pb_4,0.019856841464380225
Pb_5,0.018011987336267674
Pb_6,0.01751726720534816
