,A,GcsR
R2,,0.3650518557890794
xmin,,-3.7982392595000007
xmid,,0.03927037418365823
xmax,,1.6386299603333332
ystart,,-0.017328326718445364
yend,,-13.484428875288915
ALE:GalactoseA5:1.0,-1.1990320032096735,-0.4345904694999998
ALE:GalactoseA5:2.0,-2.0009304718186933,-0.6007097175
ALE:GalactoseA6:1.0,1.2502858460629906,0.2966881924999995
ALE:GalactoseA6:2.0,1.8925509664359863,0.9396621995
ALE:GalactoseA8:1.0,1.2590444062637682,0.3051278455000004
ALE:GalactoseA8:2.0,1.28747755560868,0.0004397435000003
ALE:IL_Control:1.0,0.1982986920931485,-0.4068444825000004
ALE:IL_Control:2.0,1.2779838272350892,-0.1529883405000003
ALE:IL_Control:3.0,-1.729657170107895,0.4199838514999996
ALE:IL_Control:4.0,0.253374650509142,0.1398489715000002
ALE:IL_TEOH_OAc:1.0,3.006816562845544,-0.2901822144999997
ALE:IL_TEOH_OAc:2.0,2.8128184599469424,0.0195146265000003
ALE:IL_TEA_HS:1.0,0.8821539734890907,-0.1151200325000001
ALE:IL_TEA_HS:2.0,2.4030034542726697,-0.3307251395000001
ALE:IL_Mixed:1.0,2.7137547352133686,-0.0024497415000004
ALE:IL_Mixed:2.0,2.1859922800240352,-0.0848209674999997
ALE:IL_PP5350:1.0,-0.2250109675388463,-0.1837763724999996
ALE:IL_PP5350:2.0,0.2994897260814922,-0.2568644395000001
ALE:IL_T8:1.0,0.1188826774572063,0.3323549894999997
ALE:IL_T8:2.0,1.2903937465371853,0.2938133965
ALE:IL_T9:1.0,2.0282544067531325,0.3649997794999997
ALE:IL_T9:2.0,1.898822321418704,0.5165129825000001
ALE:IL_Control2:1.0,2.8234343161425604,-0.6604982255000005
ALE:IL_Control2:2.0,2.6435584044045,-1.0018665765000003
ALE:IL_Glc+Ace:1.0,0.8286424356786982,0.1161026354999998
ALE:IL_Glc+Ace:2.0,1.0069351218245175,0.1147962705000003
ALE:XyloseA1:1.0,-0.2712103649035085,-0.3884077264999996
ALE:XyloseA1:2.0,-0.7394567025725509,-0.4606867765000002
ALE:XyloseA2:1.0,-3.328524722029657,-0.4573529714999997
ALE:XyloseA2:2.0,-2.32677785879786,-0.3198657555000004
ALE:XyloseA3:1.0,-2.486226886654865,-0.4999449235000002
ALE:XyloseA3:2.0,-2.3427872180911185,-0.8253770965000005
ALE:XyloseA4:1.0,-0.4553510514329111,-0.4938363255000002
ALE:XyloseA4:2.0,-1.3069578349361692,-0.6996467114999998
Aromatic:Coumarate:1.0,8.069791817384983,-0.1520114303333333
Aromatic:Coumarate:2.0,10.296120556937538,-0.2069849703333335
Aromatic:Coumarate:3.0,9.14932396058791,0.0632126016666667
Aromatic:Coumarate+ferulate:1.0,8.81904953390327,0.0538600916666665
Aromatic:Coumarate+ferulate:2.0,9.216874972315418,0.0019643756666667
Aromatic:Coumarate+ferulate:3.0,8.789791917678034,0.038448413666666
Aromatic:Ferulate:1.0,7.470797040414035,0.076290483666666
Aromatic:Ferulate:2.0,7.938593987675333,0.0219301686666666
Aromatic:Ferulate:3.0,7.459506026524312,0.1134214946666665
Aromatic:Glucose:1.0,-0.0445484453339754,-0.1424587463333333
Aromatic:Glucose:2.0,-0.1253336645863061,0.1710539776666664
Aromatic:Glucose:3.0,0.1698821108003717,-0.0285952313333339
Bioreactor1:24h:1.0,0.3319346417466419,0.0172677165000001
Bioreactor1:24h:2.0,-0.331934641556651,-0.0172677165000001
Bioreactor2:S_0min:1.0,-0.6474279794471266,-0.0457706083333331
Bioreactor2:S_15min:1.0,2.6828088060642226,-0.6025550913333331
Bioreactor2:P1_15min:1.0,2.7125458661835733,-0.7821232293333331
Bioreactor2:P3_15min:1.0,3.8030704884602495,-0.8627653363333332
Bioreactor2:P5_15min:1.0,3.5375985330857063,-0.0168172393333332
Bioreactor2:S_1h:1.0,0.9955269233792882,-0.0081291313333333
Bioreactor2:S_3h:1.0,0.7962977067394417,-0.374318633333333
Bioreactor2:S_9h:1.0,1.0915672440558788,-0.260235084333333
Bioreactor2:S_25h:1.0,1.5739620231323703,-0.1239173193333331
Bioreactor2:P1_25h:1.0,1.8276784966447603,-0.5280481263333332
Bioreactor2:P3_25h:1.0,2.7337094273329576,-0.208884223333333
Bioreactor2:P5_25h:1.0,2.801805447045873,-0.209305575333333
Bioreactor2:S_0min:2.0,0.3254614522071624,0.3654148136666668
Bioreactor2:S_15min:2.0,3.3616506611701507,-0.410540853333333
Bioreactor2:P1_15min:2.0,3.610050733166291,-0.5972056153333334
Bioreactor2:P3_15min:2.0,4.172707477614682,-0.5891563253333332
Bioreactor2:P5_15min:2.0,4.540745096899904,-0.9686642983333332
Bioreactor2:S_1h:2.0,1.856275847270476,-0.328441428333333
Bioreactor2:S_3h:2.0,1.558106106821934,-0.2333193013333332
Bioreactor2:S_9h:2.0,1.9092388391757165,-0.1026233163333332
Bioreactor2:S_25h:2.0,1.9250096171897848,-0.3233184493333332
Bioreactor2:P1_25h:2.0,1.9074695428313704,-0.3790597463333331
Bioreactor2:P3_25h:2.0,3.424611890140228,-0.4257842183333333
Bioreactor2:P5_25h:2.0,3.382683044808843,-0.199507403333333
Bioreactor2:S_0min:3.0,0.321966528739354,-0.3196442053333332
Bioreactor2:S_15min:3.0,3.217251719942144,-0.3887943173333332
Bioreactor2:P1_15min:3.0,4.398193616721963,-0.7948734783333333
Bioreactor2:P3_15min:3.0,5.550580215733871,-0.9324609693333332
Bioreactor2:P5_15min:3.0,4.448403680234016,-0.3519155103333333
Bioreactor2:S_1h:3.0,1.592600096860661,-0.2971488193333331
Bioreactor2:S_3h:3.0,1.6643910721870412,-0.3170800173333332
Bioreactor2:S_9h:3.0,1.937659016121372,-0.1714860563333333
Bioreactor2:S_25h:3.0,2.0827904439129825,-0.3709626803333332
Bioreactor2:P1_25h:3.0,2.8238802379862773,-0.357372417333333
Bioreactor2:P3_25h:3.0,3.710397570857389,-0.3626252183333331
Bioreactor2:P5_25h:3.0,3.703244352355005,-0.5266325603333333
Carbon:Citrate:1.0,4.4624857196143415,-0.6053288120000002
Carbon:Citrate:2.0,4.425553014883033,0.4175664550000002
Carbon:Citrate:3.0,3.96985599947326,-0.403687289
Carbon:Ferulate:1.0,-13.69240807887226,-0.2537929430000001
Carbon:Ferulate:2.0,-12.76056608304589,-0.329882531
Carbon:Ferulate:3.0,-13.275752948789568,-0.6031293560000002
Carbon:Glucose:1.0,-0.7577415654582267,0.014511616
Carbon:Glucose:2.0,0.7577415664341208,-0.014511616
Carbon:Serine:1.0,-10.55887396910783,0.1712546549999993
Carbon:Serine:2.0,-10.82229893979124,0.0553769859999997
Carbon:Serine:3.0,-13.123918432359035,-0.339927898
Carbon2:Glucose:1.0,0.312829200527029,0.0632231239999998
Carbon2:Glucose:2.0,0.3589768223217602,0.0848557879999996
Carbon2:Glucose:3.0,-0.6718060245420708,-0.1480789120000003
Carbon2:Coumarate:1.0,1.761859043064839,0.254459148
Carbon2:Coumarate:2.0,2.541359006031001,0.3580105209999993
Carbon2:Coumarate:3.0,3.0889597681486483,0.3604132019999997
Crc:Control:1.0,-0.1871024918043894,0.1150493670000001
Crc:Control:2.0,0.1871024919675841,-0.1150493669999992
Crc:Del_crc:1.0,-1.763685375337473,-0.1883233289999992
Crc:Del_crc:2.0,-1.7554342719671014,-0.4331440239999997
Crc:Del_crcZ_crcY:1.0,-0.9065438099076526,-0.2659106259999992
Crc:Del_crcZ_crcY:2.0,-2.5253134335929066,0.3181066870000002
FinR:Control:1.0,-0.1954125290758206,0.0044061403333333
FinR:Control:2.0,0.2982822930955212,-0.0008327926666669
FinR:Control:3.0,-0.1028697632610997,-0.0035733476666668
FinR:Del_finR:1.0,-1.797905839831035,-0.3731864046666668
FinR:Del_finR:2.0,-0.9542695695639622,-0.4480645656666668
FinR:Del_finR:3.0,-1.1526321483903612,-0.3823814846666669
FleQ:Del_fleQ:1.0,0.3912150035073042,-0.0585850506666667
FleQ:Del_fleQ:2.0,1.265821067870308,0.0954397623333336
