,23
immunity_isolated__AvrRpt2_PS__2.0,-7.2183786992
immunity_isolated__WT_WT__4.0,-2.1749367692
immunity_isolated__WT_npr1__2.0,1.1176094731
immunity_isolated__AvrRpt2_WT__4.0,-1.938867335
immunity_isolated__AvrRpt2_npr1__2.0,1.2705450523000001
immunity_isolated__AvrRpt2_DE__2.0,0.011863260300000001
immunity_isolated__WT_WT_mock__1.0,-5.5389799621
immunity_isolated__WT_WT__5.0,-0.1776476848
immunity_isolated__WT_SP__1.0,-0.5280669032
immunity_isolated__AvrRpt2_b2b3__1.0,-0.9488199556
immunity_isolated__WT_WT__6.0,0.7814912071
immunity_isolated__WT_SP__2.0,0.0446995186
immunity_isolated__AvrRpt2_WT__5.0,-0.9764942190000001
immunity_isolated__AvrRpt2_b2b3__2.0,-0.8704517824
immunity_isolated__WT_WT__7.0,0.5041749594
immunity_isolated__WT_sid2__2.0,0.6453801759000001
immunity_isolated__WT_pad4__3.0,0.9247183326
immunity_isolated__WT_PS__3.0,-0.3672731439
immunity_isolated__AvrRpt2_WT__6.0,1.1388464218
immunity_isolated__AvrRpt2_sid2__3.0,0.8802602526000001
immunity_isolated__AvrRpt2_pad4__3.0,2.5574919379
immunity_isolated__AvrRpt2_WT__7.0,-0.6386838137
immunity_isolated__AvrRpt2_npr1__3.0,2.0769772968
immunity_isolated__AvrRpt2_DE__3.0,-0.3628780915
immunity_isolated__AvrRpt2_DEPS__2.0,0.9389399264
immunity_isolated__AvrRpt2_RR__1.0,0.1865310443
immunity_isolated__AvrRpt2_WT__8.0,-3.0926040968
immunity_isolated__AvrRpt2_RR__2.0,-5.073839584
immunity_isolated__WT_WT_mock__2.0,3.3494822402
immunity_isolated__WT_WT_SA__1.0,3.7711538217
immunity_isolated__WT_WT_chitin__1.0,3.9340247596999998
immunity_isolated__WT_WT_SA__2.0,1.1546179323
immunity_isolated__WT_WT_mock__3.0,2.8649212675999998
immunity_isolated__WT_WT_chitin__2.0,1.6565756003
immunity_isolated__WT_WT_SA__3.0,1.6874400988
immunity_isolated__WT_WT__8.0,-2.3120692019
immunity_isolated__AvrRpt2_WT__9.0,-0.9272933990000001
immunity_isolated__AvrRpt2_WT__10.0,0.2583893523
immunity_isolated__WT_WT__9.0,1.4863449379
immunity_isolated__AvrRpt2_WT__11.0,2.925413656
immunity_isolated__WT_WT__10.0,0.8399326197
immunity_isolated__WT_pad4__4.0,1.3997347855
immunity_isolated__WT_PS__4.0,0.7909921792
immunity_isolated__AvrRpt2_WT__12.0,-0.040452705000000005
immunity_isolated__AvrRpt2_pad4__4.0,3.4695461023
