,relB
Cr_1,0.0021854665026391955
Cr_2,0.00534565766742269
Cr_3,0.010170053390931362
Cr_4,0.01501269486611019
Cr_5,0.02244256454415739
Cr_6,0.03142030820045907
Fe_1,-0.00939805137857303
Fe_2,-0.0234024838956502
Fe_3,-0.015900274002428706
Fe_4,-0.006640779796323171
Fe_5,-0.0020488287840507713
Fe_6,0.005986745454891183
Cd_1,-0.0005407119949937859
Cd_2,-0.00259664179781455
Cd_3,0.00030683681671400963
Cd_4,-0.001030074061568087
Cd_5,-0.004346126410244556
Cd_6,-0.0014238909174432333
Zn_1,-0.004253887889260524
Zn_2,-0.003926139997610155
Zn_3,0.0114140705297879
Zn_4,0.0221728532238542
Zn_5,0.03914728489985056
Zn_6,0.05668727009229424
Cu_1,0.0013005314390698494
Cu_2,0.005886893482579461
Cu_3,0.006195947964188692
Cu_4,0.006536808419839689
Cu_5,0.016192211910890982
Cu_6,0.029539910086564886
Pb_1,0.004061704784787988
Pb_2,0.01815483259969828
Pb_3,0.032713318481094544
Pb_4,0.04918362082312104
Pb_5,0.0636599719409001
Pb_6,0.07622677272362482
