,pstC
Cr_1,-0.002273849915248725
Cr_2,-0.00387524989437846
Cr_3,-0.005207865799354134
Cr_4,-0.0072001446409476625
Cr_5,-0.0098547896419832
Cr_6,-0.014377180915756032
Fe_1,-0.0038028163014665424
Fe_2,-0.017161811340423362
Fe_3,-0.035281495938673524
Fe_4,-0.05472474686908412
Fe_5,-0.06707017538203895
Fe_6,-0.07993334552142453
Cd_1,-0.0018556278974151824
Cd_2,-0.0031397248322572197
Cd_3,-0.004598290815601532
Cd_4,-0.00768817707537603
Cd_5,-0.013852121363858176
Cd_6,-0.014816124648322637
Zn_1,5.704678839756106e-05
Zn_2,0.0011944974796290154
Zn_3,0.008600068033168477
Zn_4,0.011667968737405941
Zn_5,0.01695962422280475
Zn_6,0.022362596148649768
Cu_1,0.0046311401435670295
Cu_2,0.0067518671087021045
Cu_3,0.012097464832251579
Cu_4,0.016347604232944818
Cu_5,0.021467831190775614
Cu_6,0.02817323757873065
Pb_1,-0.0026242183505812127
Pb_2,-0.0006283594894962964
Pb_3,0.006158334247579884
Pb_4,0.011888241477441408
Pb_5,0.016212324767888652
Pb_6,0.02166567876446436
