,A,DksA
R2,,0.05231989852146324
xmin,,-2.438067425
xmid,,
xmax,,1.12181965
ystart,,4.518937640061946
yend,,-5.775912559123185
control__wt_glc__1,0.1321396336,0.10762986000000001
control__wt_glc__2,-0.1321396336,-0.10762986000000001
fur__wt_dpd__1,-7.5705203737,0.00919441
fur__wt_dpd__2,-7.721319131,-0.419222839
fur__wt_fe__1,1.9506435620000002,-0.20205656800000002
fur__wt_fe__2,2.1269490744,-0.251379825
fur__delfur_dpd__1,-7.6388033508,0.05568696
fur__delfur_dpd__2,-5.8954756535,-0.6067309120000001
fur__delfur_fe2__1,-1.9949217979,-0.01548268
fur__delfur_fe2__2,-2.254832708,-0.01183242
acid__wt_ph5__1,-1.6531179514,0.00763678
acid__wt_ph5__2,-2.0338774092,-0.03566343
acid__delgadx_ph5__2,-0.3202258303,-0.36773875500000003
acid__delgadw_ph5__1,-1.2457300513,-0.07422747
acid__delgadw_ph5__2,-1.2304143167000001,-0.09099579000000001
acid__delgade_ph5__1,-2.0143743095,-0.01799291
acid__delgade_ph5__2,-1.6367977009999999,0.00057981
oxidative__wt_pq__1,-8.2815021589,0.79804133
oxidative__wt_pq__2,-8.3097141159,0.60256553
oxidative__deloxyr_pq__1,-8.4511005943,0.73179891
oxidative__deloxyr_pq__2,-8.3045843974,0.64958993
oxidative__delsoxr_pq__1,-4.0283215279,0.26172225
oxidative__delsoxr_pq__2,-4.6998996269,0.25957536000000003
oxidative__delsoxs_pq__1,-9.2131027923,0.52451559
oxidative__delsoxs_pq__2,-9.0478005655,0.5707898100000001
nac_ntrc__wt_csn__1,-9.477608651,0.1605203
nac_ntrc__wt_csn__2,-9.6269522935,0.27720816
nac_ntrc__wt_cytd__1,-6.2670130878,0.22319687
nac_ntrc__wt_cytd__2,-6.0958981092,0.31959031
nac_ntrc__wt_gln__1,-11.1520871226,0.18527241
nac_ntrc__wt_gln__2,-10.9431037712,0.334252
nac_ntrc__bw_delnac_csn__1,-13.0404853071,-0.26214897400000003
nac_ntrc__bw_delnac_csn__2,-11.5820809925,-0.552406771
nac_ntrc__bw_delnac_cytd__1,-5.1111151388,0.07475685
nac_ntrc__bw_delnac_cytd__2,-4.1098194449,0.0358533
nac_ntrc__bw_delnac_gln__1,-8.3823138143,0.0380138
nac_ntrc__bw_delnac_gln__2,-8.6469324964,-0.08735342
nac_ntrc__bw_delnac_nh4__1,2.1691057667,-0.04080128
nac_ntrc__bw_delnac_nh4__2,2.7245438111,-0.07593799999999999
misc__wt_no_te__1,-4.8614195093,0.22676976000000001
misc__wt_no_te__2,-1.896677478,0.01174368
misc__bw_delcbl__1,3.3178506504,-0.579710159
misc__bw_delcbl__2,2.859667428,-0.579512294
misc__bw_delfabr__1,4.892387815,-0.5769577290000001
misc__bw_delfabr__2,4.839669499,-0.515933084
misc__bw_delfadr__1,1.8047456094,-0.52649937
misc__bw_delfadr__2,1.0709927399,-0.11649165
misc__nitr_031__1,-3.6797302918,0.20116575
omics__wt_glu__1,-5.6778447801,-0.927365069
omics__wt_glu__2,-5.3531194227,-0.859675539
omics__wt_gly__1,-1.4040245977999999,-0.66965889
omics__wt_gly__2,-1.250989916,-0.7331763170000001
omics__wt_thr__1,-13.0276543781,-0.7451474140000001
omics__wt_thr__2,-11.2852112021,-0.722367616
omics__bw_ac__1,-11.1705940829,0.24265391
omics__bw_ac__2,-11.3548152123,0.33642459999999996
omics__bw_fum__1,-6.213924757,0.81940528
omics__bw_fum__2,-6.1077224054,0.81544179
omics__bw_glc__1,-7.4027657341,0.51843085
omics__bw_glc__2,-6.9384552767,0.47961284
omics__bw_pyr__1,-8.9833672656,0.38410257000000003
omics__bw_pyr__2,-9.6274518054,0.54632513
ompr__wt_nacl__1,-6.3052204319000005,-0.22035073800000002
ompr__wt_nacl__2,-6.1140967059,-0.06804128
ompr__bw_delompr_nacl__1,-2.0162037264,-0.307879921
ompr__bw_delompr_nacl__2,-1.7179071937,-0.301591897
minspan__wt_ade__1,-0.1342079478,-0.573101647
minspan__wt_glc__2,1.7138314152,-0.6758749860000001
minspan__wt_glc__3,1.2069576225,-0.684057307
minspan__wt_glc__4,1.2677780562,-0.768996231
minspan__wt_glc_anaero__1,-3.283534212,-0.977973288
minspan__wt_glc_anaero__2,-6.0422418814,-0.925424553
minspan__wt_trp__1,-11.2561825191,-0.528967481
minspan__bw_delcra_glc__2,-2.0425946846,-0.53298709
minspan__bw_delcra_trp__1,-11.6398179282,-0.439841802
minspan__bw_delmntr__1,-3.1698545449,-0.545179661
minspan__bw_delnac_ade__1,-0.7899785854,-1.524378076
minspan__bw_delnac_glc__1,-0.6166009731000001,-0.6186027230000001
cra_crp__wt_ac__1,-9.3485425498,-0.680290248
cra_crp__wt_ac__2,-8.7959635176,-0.571856241
cra_crp__wt_fru__1,-6.3071665146,-0.757664345
cra_crp__wt_fru__2,-7.0628811765,-0.7738378300000001
cra_crp__delcra_ac__1,-10.0669740803,-0.02586324
cra_crp__delcra_ac__2,-9.1252563388,-0.12348669999999999
cra_crp__delcra_fru__1,-2.4288400937,-0.328874351
cra_crp__delcra_fru__2,-2.1282136896,-0.20984411500000003
cra_crp__delcra_glc__1,1.3342362781000001,-0.207245369
cra_crp__delcra_glc__2,1.1504495471,-0.27524339600000003
rpoB__wt_031__1,-4.6004542263,-0.13868805
rpoB__wt_044__1,-1.2243896296,-0.414536185
rpoB__wt_lb__1,-1.0662215762,0.6879565999999999
rpoB__wt_lb__2,-0.49119192050000005,0.65971029
rpoB__rpoBE546V_031__1,-3.4711523933,-0.27315246800000004
rpoB__rpoBE546V_044__1,-2.6515306728,-0.04207885
rpoB__rpoBE546V_lb__1,0.9089712009,0.5296409
rpoB__rpoBE546V_lb__2,0.7840491032,0.55044571
rpoB__rpoBE546V_glc__1,1.0273143471,-0.397366875
rpoB__rpoBE672K_glc__1,9.7422739547,-0.470008917
rpoB__rpoBE672K_glc__2,9.6747942162,-0.407050935
rpoB__rpoBE672K_lb__1,13.6497695904,0.47435553
rpoB__rpoBE672K_lb__2,13.0829296476,0.50582989
crp__wt_fru__1,-0.5866284796,-0.30013831300000005
crp__wt_glyc__1,0.8833315949,-0.179779182
crp__wt_glyc__2,0.43083702100000004,-0.024128260000000002
crp__delar1_glyc__1,0.4960390409,0.32903378
crp__delar1_glyc__2,-2.6367814903999998,0.49795986000000003
crp__delar1ar2_glyc__1,0.4478440461,-0.09511618000000001
crp__delar1ar2_glyc__2,0.43856318200000005,-0.035580890000000004
crp__delar1ar2_glyc__3,-0.0323396295,-0.06588304
crp__delar2_glyc__1,-6.0379908665,1.12181965
crp__delar2_glyc__2,-5.8846992792,1.01382799
crp__delar2_glyc__3,-7.4663162432,1.07215336
crp__delcrp_fru__1,-4.0495313825,-0.04168799
crp__delcrp_fru__2,-2.7405601472,-0.03881209
crp__delcrp_fru__3,-4.5005990141000005,-0.10680271000000001
crp__delcrp_glc__1,-3.3102679043,-0.11335106
crp__delcrp_glc__2,-2.7099993246,0.06653907
crp__delcrp_glc__3,-3.4778299126,-0.06492534
crp__delcrp_glyc__1,-2.3102579611,0.17189781
crp__delcrp_glyc__2,-3.4159061935,0.12579949
crp__delcrp_glyc__3,-3.5641651095,0.10954363
glu__glu_ale3__1,5.6437144388,0.41133657
glu__glu_ale4__1,8.9590757913,0.01234005
glu__glu_ale5__1,7.9033999812,0.12408467000000001
glu__glu_ale6__1,12.6524999365,-0.33897280700000004
glu__glu_ale8__1,1.7195937893000002,0.49035334
glu__glu_ale9__1,7.7257818561,-0.07780256
glu__glu_ale10__1,7.4250665411,-0.06919279
42c__wt_42c__1,1.7369204017,-0.364880509
42c__42c_ale1__1,-7.2551205617,-0.6934834400000001
42c__42c_ale2__1,5.2114514274,0.00287001
42c__42c_ale3__1,1.2966482845,-0.015213260000000001
42c__42c_ale4__1,4.2134160853000004,0.19083244
42c__42c_ale5__1,3.5431528574,0.14059042
42c__42c_ale6__1,-8.333618467600001,-0.797912206
42c__42c_ale8__1,1.5155645899999999,-0.05609239
42c__42c_ale9__1,4.1047557456,-0.05595956
42c__42c_ale10__1,0.6930874088,0.06308283
ssw__wt_ac__1,-8.10936862,0.20091538
ssw__wt_glc__1,0.47813845390000004,-0.8337788370000001
ssw__wt_glyc__1,-7.1452095277,-0.21843325
ssw__wt_xyl__1,-10.9808158145,-0.9874056600000001
ssw__glc_ale1__1,1.1473072178,0.29996376
ssw__glc_ale2__1,-0.06793479150000001,-0.03132131
ssw__glc_ale3__1,-4.7869262332,-0.676234226
ssw__glyc_ale1__1,1.2332155608,0.22953171
ssw__glyc_ale2__1,-6.2386280404,-0.916904594
ssw__xyl_ale1__1,-7.185970066,-0.024869330000000002
ssw__xyl_ale2__1,-2.4654204752,0.33775046000000003
ssw__xyl_ale3__1,-4.5434951284,-0.10332375
ssw__glc_ac_ac2__1,-11.1130185493,-0.458395245
ssw__glc_ac_glc1__1,-8.0516175218,-0.24427425100000003
ssw__glc_glyc_glc__1,0.7268505933,0.26400935000000003
ssw__glc_glyc_glyc__1,-0.011202234600000001,0.21788839000000002
ssw__glc_xyl_glc__1,6.4910640466,-0.361840523
ssw__glc_xyl_xyl__1,3.7613218562,-0.15550833
ica__wt_glc__1,7.1824478231,-0.716652402
ica__wt_glc__2,7.4524805598,-0.7525902080000001
ica__wt_glc__3,2.807245204,-0.203331059
ica__wt_glc__4,0.5572908319000001,-0.10960708
ica__arg_sbt__1,2.5680501076,-0.815241576
ica__arg_sbt__2,3.1685532863,-0.624411169
ica__cytd_rib__1,-23.9129181863,0.23897931
ica__cytd_rib__2,-25.408062877,0.0449397
ica__gth__1,-10.6609072962,0.26706604
ica__gth__2,-9.7583532843,-0.0047363100000000005
ica__leu_glcr__1,2.0360721263,-0.7817565070000001
ica__leu_glcr__2,2.2256201177,-0.8516662450000001
ica__met_glc__1,8.6401112887,-0.6008746460000001
ica__met_glc__2,9.1860457074,-0.639947159
ica__no3_anaero__1,-3.6186181384,-0.567567726
ica__no3_anaero__2,-3.6951224202,-0.387592775
ica__phe_acgam__1,5.9481953522,-0.397775725
ica__phe_acgam__2,6.4619160492,-0.396935278
ica__thm_gal__1,-3.0212645545,-0.378336757
ica__thm_gal__2,-3.02092575,-0.28534771800000003
ica__tyr_glcn__1,5.5485123152,-0.40231238
ica__tyr_glcn__2,5.1129412459,-0.44510409500000003
ica__ura_pyr__1,-0.5695293459,-0.49415354300000003
ica__ura_pyr__2,-2.8033770942,-0.509027208
ica__wt_glc__5,1.9060364382000001,-0.292448178
ica__wt_glc__6,1.4283987681,-0.33406270400000004
ica__bw_delpurR_cytd__1,5.1892930694,0.0694075
ica__bw_delpurR_cytd__2,-0.8410978799000001,0.17753222
ica__ade_glc__1,-0.4736194631,0.10219061
ica__ade_glc__2,5.6758667304,0.058735550000000004
ytf__wt_glc__1,0.4198479124,-0.43870516600000004
ytf__wt_glc__2,-1.2399988212,-0.475945653
ytf__delyafC__1,-13.9179781731,-0.027085150000000002
ytf__delyafC__2,-13.946932993,-0.00565807
ytf__delyeiE__1,-7.6769466821,-0.45171516800000006
ytf__delyeiE__2,-2.1628717473,-0.74327943
ytf__delyiaJ__1,-12.9258424037,-0.371234023
ytf__delyiaJ__2,-13.8366339523,-0.273036849
ytf__delyieP__1,-9.7598733297,-0.17200119500000002
ytf__delyieP__2,-6.8184518925,-0.10136069
ytf__wt_ph5__1,-3.1576302213,-0.621250959
ytf__wt_ph5__2,-3.8942276254,-0.49944787
ytf__wt_ph8__1,-0.3543347368,-0.217682176
ytf__wt_ph8__2,-0.5563835153000001,-0.18786597900000002
ytf__delybaO__1,-14.6330774055,-0.221613782
ytf__delybaO__2,-12.9118469979,-0.08342972
ytf__delybaQ__1,-0.38075042800000003,-0.41075289
ytf__delybaQ__2,-0.7570908413,-0.325551539
ytf__delybiH__1,-0.140311551,-0.25815840900000003
ytf__delybiH__2,-8.983769746,-0.15819713
ytf__delydcI_ph5__1,-0.8516559438,-0.640234951
ytf__delydcI_ph5__2,-1.044677445,-0.680382652
ytf__delydcI_ph8__1,-1.2278121011,-0.297059259
ytf__delydcI_ph8__2,1.6159276299,-0.24407362800000001
ytf__delyddM__1,-3.7369090206,-0.34753654300000003
ytf__delyddM__2,-3.6436342781,-0.348150189
ytf__delyheO__1,-14.5324738071,-0.22398156400000002
ytf__delyheO__2,-12.6795212549,-0.05056598
fps__bw_glc__1,1.2730367986,-0.6316230580000001
fps__bw_glc__2,1.9075767687,-0.530795333
fps__fps_thrA_ale1__1,-2.4371503022,-0.499496798
fps__fps_thrA_ale1__2,-1.0965504585999999,-0.546484709
fps__fps_thrA_ale2__1,-1.8506327311000002,-0.576848938
fps__fps_thrA_ale2__2,-1.4187461751,-0.5561642920000001
fps__fps_serB_ale1__1,-1.6273266931,-0.8939095560000001
fps__fps_serB_ale1__2,-0.9545773154,-1.12491848
fps__fps_serB_ale4__1,-9.6837784425,-0.833433144
fps__fps_serB_ale4__2,-10.3360844244,-1.1003709210000001
fps__fps_ptsI_ale1__1,-5.4576611783,-0.00754794
fps__fps_ptsI_ale1__2,-4.9394664714,-0.09723271
fps__fps_ptsI_ale3__1,-1.9908216925,-0.11823324
fps__fps_ptsI_ale3__2,-1.7233282924000002,-0.08089368
pal__lyx_ale2_f6__1,-11.3616872325,0.12716825
pal__lyx_ale2__1,-4.0461072665,0.2282178
pal__lyx_ale2__2,-4.2491221826,0.38792184
pal__lyx_ale4__1,-0.5725110321,0.58415851
pal__lyx_ale4__2,1.0154098292,0.5556892
pal__5drib_ale10_f18__1,-17.3819482556,-0.0003006
pal__5drib_ale10_f18__2,-17.1510984106,0.11683728
pal__5drib_ale10__1,-12.5156510341,0.14772839999999998
pal__arab_ale14_f9__1,-6.1176656329,-0.09257354
pal__arab_ale14_f9__2,-5.6298505767,-0.19532259300000002
pal__arab_ale14__1,-0.5464965296000001,-0.11235024
pal__arab_ale14__2,0.35429405270000003,-0.250753793
pal__arab_ale16__1,-5.9187605568,-0.11894923
pal__arab_ale16__2,-8.4701287406,-0.01857392
pal__tartr_ale26_f10__1,-9.1890080932,0.02474219
pal__tartr_ale26_f10__2,-10.4692375987,-0.00245833
pal__tartr_ale26__1,-6.8961687081,-0.19206146500000001
pal__tartr_ale26__2,-6.7859219902,-0.30754464800000003
pal__tartr_ale28_f10__1,-12.796304884,0.34698808000000003
pal__tartr_ale28_f10__2,-13.2968148192,0.37367118
pal__tartr_ale28__1,-6.3962396457,0.1366987
pal__tartr_ale28__2,-9.0996431269,0.60166266
efeU__delmenFentC_citr__1,1.6710706486,-0.534901507
efeU__delmenFentC_citr__2,3.8531867562,-0.603519482
efeU__delmenFentC__1,-6.5987586971,-0.7964653580000001
efeU__delmenFentC__2,-6.6219692623,-0.908130077
efeU__menFentC_ale39__1,3.1974263880000002,-0.09145999
efeU__menFentC_ale39__2,2.7027918642,-0.13179099
efeU__menFentC_ale29__1,0.7337143895,-0.5994816740000001
efeU__menFentC_ale29__2,-0.1613326473,-0.538618608
efeU__menFentC_ale30__1,3.7787089253,-0.600696717
efeU__menFentC_ale30__2,5.2305610023,-0.438101106
efeU__menFentCubiC_ale36__1,-0.8493846299000001,-0.48090030800000005
efeU__menFentCubiC_ale36__2,-1.3921662567,-0.45271494
efeU__menFentCubiC_ale37__1,-3.3355717933999998,-0.670840219
efeU__menFentCubiC_ale37__2,-3.2044785676,-0.594873506
efeU__menFentCubiC_ale38__1,0.0854066268,-0.616235756
efeU__menFentCubiC_ale38__2,0.0272351202,-0.5785718990000001
misc2__salc_glc__1,-6.0344751761,-0.833017879
misc2__salc_glc__2,-6.7756490125,-0.596445972
misc2__dbcn_glc__1,10.2563846768,-0.6600855800000001
misc2__dbcn_glc__2,6.0132514886,-0.357978826
misc2__tyr_glc__1,-2.4154582881,-0.298971465
misc2__tyr_glc__2,-4.0465429425,-0.19549719000000002
misc2__arg_cytd__1,4.8405105397,-0.11291058
misc2__arg_cytd__2,4.3469425191,0.01091234
misc2__delyheO_pyr__1,-3.9657938698,-0.329367156
misc2__delyheO_pyr__2,-2.7272017015000003,-0.265798513
nquinone__delubiC__1,1.6361322688,-0.512474302
nquinone__delubiC__2,-0.052369475900000004,-0.5854467950000001
nquinone__ubiC_ale1__1,-1.0880514315,-0.316787639
nquinone__ubiC_ale1__2,-0.6475679188,-0.7056606820000001
nquinone__ubiC_ale2__1,-2.2295132727,-0.49513021700000004
nquinone__ubiC_ale2__2,-0.6177300571000001,-0.54066217
nquinone__ubiC_ale3__1,1.6259069569,-0.718789314
nquinone__ubiC_ale3__2,1.5412511459,-0.7206711370000001
nquinone__ubiC_ale4__1,-1.2807218892,-0.7132597260000001
nquinone__ubiC_ale4__2,-2.9105331404,-0.832615891
nquinone__delpdhR__1,2.5471964614,-0.61021454
nquinone__delpdhR__2,2.8649508997,-0.690636969
quinone__glu_ale4__1,8.753771873,-0.5858226350000001
quinone__glu_ale4__2,6.6216235025,-0.459633292
quinone__delmenF__1,0.5318831215000001,-0.543314407
quinone__delmenF__2,0.5983196080000001,-0.55697934
quinone__menF_ale5__1,0.3660468887,-0.11873736
quinone__menF_ale5__2,2.236454015,-0.271896629
quinone__menF_ale6__1,-0.6521784651,-0.251213265
quinone__menF_ale6__2,-0.5682153098,-0.28022359
quinone__menF_ale7__1,-6.9686514815,-0.239088283
quinone__menF_ale7__2,-6.9410887146,-0.24007878800000002
quinone__menF_ale8__1,-7.0548562805,-0.293070416
quinone__menF_ale8__2,-8.4372913857,-0.15643021000000001
quinone__delmenFubiC__1,-0.3844326239,-0.591474595
quinone__delmenFubiC__2,-0.8953790326000001,-0.530994328
quinone__menFubiC_ale1__1,-7.7032280258,-0.772017441
quinone__menFubiC_ale1__2,-7.3967295565,-0.8959659860000001
quinone__menFubiC_ale2__1,-7.3618119522,-0.74807274
quinone__menFubiC_ale2__2,-6.5789894575,-0.8256734120000001
quinone__menFubiC_ale3__1,5.4794826515,-0.595460538
quinone__menFubiC_ale3__2,4.9001369527000005,-0.5125096
quinone__menFubiC_ale4__1,1.4778999176,-0.05161478
quinone__menFubiC_ale4__2,0.1317821575,-0.07263012
oxyR__wt_glc__1,4.3296322352,-0.33352794900000005
oxyR__wt_glc__2,3.7953463386,-0.39227363200000004
oxyR__wt_h2o2__1,3.9266994716,-0.361841295
oxyR__wt_h2o2__2,-0.35563178840000004,-0.182218122
oxyR__glu_ale4__1,0.6576847799000001,-0.198099154
oxyR__glu_ale4__2,2.9410643476000002,-0.33317734800000004
oxyR__glu_ale4_h2o2__1,0.35954583560000003,-0.320259817
oxyR__glu_ale4_h2o2__2,1.2116146811,-0.594564721
oxyR__oxyR_ale17__1,-2.4603535818,-1.044904058
oxyR__oxyR_ale17__2,-0.3545113011,-1.306451327
oxyR__oxyR_ale17_h2o2__1,-1.4611433566,-0.7764279900000001
oxyR__oxyR_ale17_h2o2__2,-0.6500471592,-0.8313491260000001
oxyR__oxyR_ale18__1,7.5085526046,-0.686656367
oxyR__oxyR_ale18__2,4.5990438217000005,-0.627897188
oxyR__oxyR_ale18_h2o2__1,-0.7394096906000001,-1.099327293
oxyR__oxyR_ale18_h2o2__2,-1.3367204426,-1.061329247
oxyR__oxyR_ale19__1,6.1132138207,-0.5646842320000001
oxyR__oxyR_ale19__2,2.3872116852,-0.551117815
oxyR__oxyR_ale19_h2o2__1,6.6696850813,-0.672482958
oxyR__oxyR_ale19_h2o2__2,6.2048385494,-0.6106520550000001
oxyR__oxyR_ale20__1,-1.2446136364,-1.6387177099999999
oxyR__oxyR_ale20__2,-1.4157061429,-1.66419519
oxyR__oxyR_ale20_h2o2__1,-0.1008148995,-1.285907972
oxyR__oxyR_ale20_h2o2__2,-0.7383138405,-1.30374052
svns_pgi__BmePgi24_15__1,1.6188076565,-0.5522230490000001
svns_pgi__BmePgi24_15__2,1.1757671374,-0.465293249
svns_pgi__BmePgi24_26__1,3.4170719742,-0.38273847
svns_pgi__BmePgi24_26__2,3.0272951977,-0.22991904200000002
svns_pgi__BmePgi24_41__1,-1.7134139451000001,0.13985545
svns_pgi__BmePgi24_41__2,3.8381296342,-0.35321191500000004
svns_pgi__BmePgi24_52__1,3.2853316096,-0.65436418
svns_pgi__BmePgi24_52__2,4.152020832,-0.512426213
svns_pgi__PaePgi2_34__1,-0.839365266,-0.203319792
svns_pgi__PaePgi2_34__2,-0.8807762492000001,-0.188660249
svns_pgi__PaePgi2_63__1,-0.8879573011,-0.39849138300000003
svns_pgi__PaePgi2_63__2,-1.1731127459,-0.371527153
svns_pgi__PaePgi24_54__1,-1.158346856,-0.544282715
svns_pgi__PaePgi24_54__2,-2.0145431164,-0.442246464
svns_pgi__PaePgi24_90__1,-0.4075740061,-0.497580556
svns_pgi__PaePgi24_90__2,-1.8675916834000001,-0.258708353
abx_media__m9_ctrl__1,-1.1858256691,-0.37417387500000004
abx_media__m9_ctrl__2,1.6774249001000001,-0.12623517
