,sspA
Cr_1,-0.00023243175713741525
Cr_2,0.00038101296432762314
Cr_3,0.004004717461802952
Cr_4,0.007239765302504015
Cr_5,0.010802662167273798
Cr_6,0.014386804339982504
Fe_1,-0.005169505884185807
Fe_2,-0.01896513575770037
Fe_3,-0.03377753966271456
Fe_4,-0.047035280429366784
Fe_5,-0.05706572107672496
Fe_6,-0.06283992640831214
Cd_1,0.002983489298073212
Cd_2,0.005617626359501679
Cd_3,0.007367496444910464
Cd_4,0.011609770813545396
Cd_5,0.01019916163126879
Cd_6,0.01437102955758588
Zn_1,5.063895804677724e-05
Zn_2,-0.0009853719679884568
Zn_3,0.0043404573877195785
Zn_4,0.015151916633770197
Zn_5,0.028924024195926525
Zn_6,0.04074414199952205
Cu_1,0.002429824269169217
Cu_2,0.002375782094502216
Cu_3,0.003901643044335456
Cu_4,0.003722311593175725
Cu_5,0.004879428162849325
Cu_6,0.009480062415830257
Pb_1,0.007315921470724868
Pb_2,0.012700649108532924
Pb_3,0.020989360590882748
Pb_4,0.030541036978532013
Pb_5,0.04452765001553149
Pb_6,0.05828079320974482
