,rrnA
Cr_1,-0.004915208658081964
Cr_2,-0.0037397011928683365
Cr_3,-0.007842317394294614
Cr_4,-0.0013605068739811685
Cr_5,0.011660896399394036
Cr_6,0.02333049920136357
Fe_1,-0.029993763213930238
Fe_2,-0.06888815984545928
Fe_3,-0.09565144579367216
Fe_4,-0.10677570510897184
Fe_5,-0.11475496730721615
Fe_6,-0.12317871337207136
Cd_1,0.0035410916625563124
Cd_2,0.014729844552898037
Cd_3,0.020130245101460848
Cd_4,0.030678279446781163
Cd_5,0.03647054071674523
Cd_6,0.04203367545197949
Zn_1,-0.010467289706935926
Zn_2,-4.951360146346468e-05
Zn_3,-0.004193094809025296
Zn_4,-0.002851918099318855
Zn_5,-0.012227746314028709
Zn_6,-0.024163180682979218
Cu_1,0.001106099780097007
Cu_2,0.0038685883396120772
Cu_3,0.008097167118666971
Cu_4,0.022362527239795083
Cu_5,0.025421747589701768
Cu_6,0.03077843565248596
Pb_1,0.02062153219857937
Pb_2,0.04404263259596941
Pb_3,0.06833110229593939
Pb_4,0.10517774898784198
Pb_5,0.13549265830311566
Pb_6,0.1470136891894408
