,metE
Cr_1,0.003854789263731318
Cr_2,0.005917428500587235
Cr_3,0.005995929101214547
Cr_4,8.222107671855257e-05
Cr_5,-0.0046180530465662
Cr_6,-0.009148186464646426
Fe_1,0.0012483124675275658
Fe_2,-0.004838870284297933
Fe_3,-0.032559226633897015
Fe_4,-0.06108839625123171
Fe_5,-0.07188727932160656
Fe_6,-0.07567608955276738
Cd_1,0.011221370563645658
Cd_2,0.01764786734115274
Cd_3,0.02075834767878666
Cd_4,0.02089552818902026
Cd_5,0.013465748678742269
Cd_6,0.00796789584749108
Zn_1,-0.014229708914093215
Zn_2,-0.04486128282107129
Zn_3,-0.08850783050049048
Zn_4,-0.13214968407389668
Zn_5,-0.1766977302453765
Zn_6,-0.22183813988829484
Cu_1,0.004825327180941161
Cu_2,0.015142877302187947
Cu_3,0.015346141791495387
Cu_4,0.013809242986569985
Cu_5,0.01950514697857768
Cu_6,0.027651894770896825
Pb_1,0.005296203158025062
Pb_2,0.010371080981167334
Pb_3,0.016835963119600273
Pb_4,0.01669218913140074
Pb_5,0.012345851072200223
Pb_6,0.006452325090524885
