,A,RpoH
R2,,0.05827904574185405
xmin,,7.8570341582
xmid,,10.310669855795378
xmax,,10.4108091639
ystart,,1.8303307300152483
yend,,10.396516241319205
control__wt_glc__1,-0.35567846470000003,8.7251021853
control__wt_glc__2,0.35567846470000003,8.7695786692
fur__wt_dpd__1,3.9280684437,9.6495809484
fur__wt_dpd__2,3.2218021311,9.7460593602
fur__wt_fe__1,-0.2199788996,8.2268751335
fur__wt_fe__2,0.2373394772,8.2341071837
fur__delfur_dpd__1,2.6666604608,9.5887198444
fur__delfur_dpd__2,1.8834839276,9.5126684763
fur__delfur_fe2__1,4.9069021388,8.7779826679
fur__delfur_fe2__2,5.4008084128,8.841928906
acid__wt_ph5__1,4.3649238897,8.8739694731
acid__wt_ph5__2,4.4074789865,8.723244069
acid__delgadx_ph5__1,3.4162339721,8.7275534463
acid__delgadx_ph5__2,3.6901593424,8.7990234651
acid__delgadw_ph5__1,5.7677006175,8.6716808538
acid__delgadw_ph5__2,5.5291822301,8.8286171553
acid__delgade_ph5__1,4.6082067105,8.689671387
acid__delgade_ph5__2,4.4680189612,8.686918907
oxidative__wt_pq__1,-1.3197471469,10.1327358119
oxidative__wt_pq__2,-2.0076225802,10.3106699361
oxidative__deloxyr_pq__1,-0.1886893728,9.9737061307
oxidative__deloxyr_pq__2,0.043237817000000005,10.0625838675
oxidative__delsoxr_pq__1,-4.6677605436,9.8336017414
oxidative__delsoxr_pq__2,-4.394295695,9.8172702039
oxidative__delsoxs_pq__1,-0.2011294756,10.1033152696
oxidative__delsoxs_pq__2,-0.45803440630000003,10.1442832835
nac_ntrc__wt_csn__1,1.096077696,9.3756643535
nac_ntrc__wt_csn__2,0.3971896177,9.329873453
nac_ntrc__wt_cytd__1,-1.5546631609000001,9.1999808365
nac_ntrc__wt_cytd__2,-1.6295484899,9.2216826672
nac_ntrc__wt_gln__1,0.5068166923,9.4496287663
nac_ntrc__wt_gln__2,-0.2523109951,9.6126727187
nac_ntrc__bw_delnac_csn__1,3.2138661841,9.7817463842
nac_ntrc__bw_delnac_csn__2,1.8805837812,10.011286794
nac_ntrc__bw_delnac_cytd__1,2.2708266269,9.5346191356
nac_ntrc__bw_delnac_cytd__2,2.7244005657,9.3893562436
nac_ntrc__bw_delnac_gln__1,-1.1765549781,9.5470359413
nac_ntrc__bw_delnac_gln__2,-1.8848032373999999,9.5811733601
nac_ntrc__bw_delnac_nh4__1,6.230856666,8.8761891931
nac_ntrc__bw_delnac_nh4__2,5.7703949333,8.9417073934
misc__wt_no_te__1,3.0826173945,9.2059466353
misc__wt_no_te__2,2.973985196,9.0774664913
misc__bw_delcbl__1,5.9274545411,8.6650434572
misc__bw_delcbl__2,6.5244290428,8.6423829349
misc__bw_delfabr__1,7.4524539159,8.4843369047
misc__bw_delfabr__2,7.056849938,8.3984001376
misc__bw_delfadr__1,6.0585434933,8.7665266979
misc__bw_delfadr__2,5.8793771086,8.8808143465
misc__nitr_031__1,3.169973968,9.1562686723
omics__wt_glu__1,4.2982517405,8.4878297771
omics__wt_glu__2,4.7840257207,8.6812153479
omics__wt_gly__1,4.8325318494000005,8.729944125
omics__wt_gly__2,4.8132789389,8.8581393657
omics__wt_thr__1,-0.3447487692,9.4971701625
omics__wt_thr__2,0.3394356792,9.3111678815
omics__bw_ac__1,-0.7978691055,8.9633124822
omics__bw_ac__2,-0.6301769664,8.965472319
omics__bw_fum__1,2.7387298619,9.3149697084
omics__bw_fum__2,2.8563611076,9.3797575053
omics__bw_glc__1,1.6433573822,9.4134471059
omics__bw_glc__2,1.9680058374,9.510801431299999
omics__bw_pyr__1,0.4511224542,9.2852971208
omics__bw_pyr__2,0.041621011,9.4054968497
ompr__wt_nacl__1,1.6948215548,10.1031738933
ompr__wt_nacl__2,2.74620372,9.9778035945
ompr__bw_delompr_nacl__1,11.46597349,10.4108091639
ompr__bw_delompr_nacl__2,11.2828073115,10.4086218891
minspan__wt_ade__1,-0.9700112521,8.172932744
minspan__wt_glc__1,3.4275055609000002,8.4728707336
minspan__wt_glc__2,1.9666145847,8.484630667
minspan__wt_glc__3,0.2597883547,8.5564708458
minspan__wt_glc__4,0.5133355169,8.5350507073
minspan__wt_glc_anaero__1,0.2304377279,8.5631795645
minspan__wt_glc_anaero__2,-0.1885798584,8.5568384613
minspan__wt_trp__1,-2.3035444224,8.6983028463
minspan__bw_delcra_glc__1,-0.5174829632,9.0193369545
minspan__bw_delcra_glc__2,-0.19676220530000002,9.0988983107
minspan__bw_delcra_trp__1,-4.910024005,8.8106394644
minspan__bw_delmntr__1,-3.0182176889,8.8889978875
minspan__bw_delnac_ade__1,-2.1092137532,8.4745103983
minspan__bw_delnac_glc__1,-3.5095135598000002,8.4397687648
cra_crp__wt_ac__1,-2.5344608654,8.708640291
cra_crp__wt_ac__2,-2.9707744211,8.6504654118
cra_crp__wt_fru__1,3.2805592055,8.6284132192
cra_crp__wt_fru__2,2.8578675326000003,8.6811120856
cra_crp__delcra_ac__1,-1.7332702492,9.0272249189
cra_crp__delcra_ac__2,-1.7021722908,9.1726099215
cra_crp__delcra_fru__1,4.7229922988,8.7599940041
cra_crp__delcra_fru__2,5.3403971056,8.8210666371
cra_crp__delcra_glc__1,5.1656582822,8.7675574452
cra_crp__delcra_glc__2,5.2296626724,8.7553986483
rpoB__wt_031__1,3.5526363442999997,8.8843829576
rpoB__wt_044__1,3.9111594055000003,8.6365118968
rpoB__wt_lb__1,-1.1737174866,9.4134548732
rpoB__wt_lb__2,-1.2051224107,9.394385974
rpoB__rpoBE546V_031__1,2.7724662438000003,9.3612864079
rpoB__rpoBE546V_044__1,2.4826401544,9.5337656369
rpoB__rpoBE546V_lb__1,-1.7764362064,9.8381786532
rpoB__rpoBE546V_lb__2,-1.9432843307,9.7312554092
rpoB__rpoBE546V_glc__1,3.2007636113,8.4376594256
rpoB__rpoBE672K_glc__1,1.9298558974,8.4153099297
rpoB__rpoBE672K_glc__2,2.4879700771,8.4607583853
rpoB__rpoBE672K_lb__1,1.0173390397,9.2927434321
rpoB__rpoBE672K_lb__2,0.6103085074,9.2029308813
crp__wt_fru__1,-4.0058084206,8.5201305143
crp__wt_glyc__1,-4.4260282692,8.3764784051
crp__wt_glyc__2,-5.8066905864,8.4608090925
crp__delar1_glyc__1,2.6271437949000003,9.6414588984
crp__delar1_glyc__2,4.5409087572,9.8078720125
crp__delar1ar2_glyc__1,2.1216116739,8.9314079983
crp__delar1ar2_glyc__2,3.112590266,8.8717581119
crp__delar1ar2_glyc__3,2.044517853,8.8192079588
crp__delar2_glyc__1,3.783385786,8.746924691
crp__delar2_glyc__2,3.922350794,8.7958946843
crp__delar2_glyc__3,3.0911388071,8.7826444423
crp__delcrp_fru__1,3.7646530122,9.4158994898
crp__delcrp_fru__2,4.2213485464,9.3846250231
crp__delcrp_fru__3,3.6892194933,9.4185162118
crp__delcrp_glc__1,3.108833876,9.5168853432
crp__delcrp_glc__2,3.0860868075,9.3820402704
crp__delcrp_glc__3,2.892077333,9.3422294151
crp__delcrp_glyc__1,4.2831685884,9.081663887
crp__delcrp_glyc__2,3.8443192595,9.2945567497
crp__delcrp_glyc__3,3.2416422167,9.259654664
glu__glu_ale3__1,4.0780254118,10.0866797513
glu__glu_ale4__1,8.5276414019,8.7165059021
glu__glu_ale5__1,8.6425983542,8.3901944425
glu__glu_ale6__1,0.8071957498000001,8.1135197202
glu__glu_ale8__1,1.4276420096,9.6747653921
glu__glu_ale9__1,-2.5864306659,9.1896620359
glu__glu_ale10__1,4.0142321885,9.8099495654
42c__wt_42c__1,4.2559878294,9.1039195292
42c__42c_ale1__1,-5.7690189356,8.877318242
42c__42c_ale2__1,7.5262762718000005,9.2607653472
42c__42c_ale3__1,1.9479781199000001,8.9854718525
42c__42c_ale4__1,5.3104490563,9.785525047
42c__42c_ale5__1,0.0092203005,8.5036418981
42c__42c_ale6__1,-7.8458837618,9.3362228197
42c__42c_ale8__1,2.5853191714,10.1550602332
42c__42c_ale9__1,1.649082422,8.6621434803
42c__42c_ale10__1,0.038330468300000003,10.0672730911
ssw__wt_ac__1,4.7474922365,9.6340812686
ssw__wt_glc__1,-4.9331343426,8.3372136009
ssw__wt_glyc__1,-0.5776618926,9.185905239
ssw__wt_xyl__1,0.0161807542,9.0691715518
ssw__glc_ale1__1,-6.5828914079,8.6620001354
ssw__glc_ale2__1,-0.7102798118,9.1424920796
ssw__glc_ale3__1,-5.6104401179,8.6589960421
ssw__glyc_ale1__1,11.9609147698,8.9433695082
ssw__glyc_ale2__1,12.3549787877,9.4281876034
ssw__xyl_ale1__1,-4.5388106352,9.2469816769
ssw__xyl_ale2__1,0.23819970070000002,9.365472984
ssw__xyl_ale3__1,3.0210723819,8.5879514016
ssw__glc_ac_ac2__1,4.3037348416,8.3326390205
ssw__glc_ac_glc1__1,-1.6034408636,9.0136124913
ssw__glc_ac_glc2__1,-5.5696728296,7.9830189785000005
ssw__glc_glyc_glc__1,0.0839463889,9.5136153392
ssw__glc_glyc_glyc__1,5.4216409818999995,9.2335576489
ssw__glc_xyl_glc__1,1.3428994689,9.259440944
ssw__glc_xyl_xyl__1,6.8058239559,8.1671168539
pgi__glu4_delpgi__1,-0.4029481545,8.90230248
pgi__pgi_ale1__1,6.9528638029,8.5122356167
pgi__pgi_ale2__1,5.0265432595,8.7530648234
pgi__pgi_ale3__1,8.0761678366,8.4546983797
pgi__pgi_ale5__1,8.1010138471,8.5378622288
pgi__pgi_ale6__1,4.8652405878,8.2106320163
pgi__pgi_ale7__1,5.2145355515,8.3804733012
pgi__pgi_ale8__1,6.5011830205,8.1637885988
ica__wt_glc__1,3.0165945425,7.8570341582
ica__wt_glc__2,2.5929356338,7.8682650659
ica__wt_glc__3,3.2199462334,8.4853424039
ica__wt_glc__4,4.9392855145,8.5123365001
ica__arg_sbt__1,-3.2888508231999998,8.223866272
ica__arg_sbt__2,-3.7883990126000002,8.3813175353
ica__cytd_rib__1,2.9544894707,9.2112485192
ica__cytd_rib__2,0.19494883200000002,9.0879283895
ica__gth__1,0.9990792372,9.9491077601
ica__gth__2,0.2403093209,9.8601582538
ica__leu_glcr__1,-3.5508757812000002,7.9805058906
ica__leu_glcr__2,-4.5154823776,7.9206745657
ica__met_glc__1,3.4926247609,8.0428009023
ica__met_glc__2,2.91001578,7.8880189385
