,-0.08962468452231817,-0.07169974761785454,-0.05377481071339091,-0.03584987380892728,-0.017924936904463645,-1.3877787807814457e-17,0.017924936904463618,0.03584987380892726,0.05377481071339088,0.0716997476178545,0.08962468452231814,0.10754962142678179,0.1254745583312454,0.14339949523570902,0.1613244321401727,0.17924936904463631,0.19717430594909993,0.21509924285356355,0.23302417975802717,0.25094911666249087
thresh,-0.09858715297455,0.09858715297455,2,,,,,,,,,,,,,,,,,
unreg,0,3,15,54,701,2362,586,58,8,0,0,0,0,0,0,0,0,0,0,0
rpoH,0,0,0,2,12,53,34,10,9,1,2,3,1,2,1,2,2,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
rpoH_genes,[],[],[],['yiaA' 'ptsI'],"['yjhB' 'yccE' 'mutL' 'waaF' 'yehY' 'ygbT' 'tadA' 'creB' 'pgpC' 'phoQ'
 'yfjV_2' 'pgpA']","['lspA' 'rdgB' 'ackA' 'yfbR' 'mpaA' 'yehX' 'yehW' 'hldD' 'glnS' 'ycjY'
 'recJ' 'yjhC' 'crr' 'waaC' 'ppiD' 'mhpT' 'cra' 'xerD' 'alaA' 'yggW'
 'creC' 'rnlA' 'ileS' 'osmF' 'yafE' 'mngB' 'raiA' 'ybfE' 'casD' 'phoP'
 'yjaZ' 'narP' 'ptsH' 'tyrR' 'can' 'dsbC' 'valS' 'ydeO' 'yceJ' 'yafD'
 'yjhI' 'yjhG' 'yciS' 'yciH' 'sdaA' 'slt' 'fkpB' 'pyrF' 'nusB' 'lipB'
 'ispH' 'yrdA' 'mngA']","['yjhH' 'ribE' 'trmA' 'hflX' 'hflC' 'ynfK' 'thiL' 'pncC' 'holC' 'ygbF'
 'ydhQ' 'adiC' 'clpX' 'hflK' 'yciM' 'mlc' 'ftsH' 'clpP' 'waaL' 'rpoD'
 'rapA' 'pphA' 'yjiT' 'casE' 'lnt' 'hfq' 'nfuA' 'yibA' 'yrfG' 'metA'
 'topA' 'ybeX' 'yceI' 'yhdN']",['creA' 'rlmE' 'htpX' 'gapA' 'zntR' 'ybeY' 'yeaD' 'rpmE' 'hspQ' 'miaA'],['rsmJ' 'ybeZ' 'ldhA' 'lon' 'prlC' 'bssS' 'ybeD' 'ybbN' 'hslO'],['hslR'],['mutM' 'grpE'],['ycjF' 'hslU' 'hslV'],['fxsA'],['ycjX' 'dnaJ'],['clpB'],['groL' 'htpG'],['groS' 'dnaK'],['ibpA' 'ibpB'],[],[]
