,nadK
Cr_1,-0.002719932324829381
Cr_2,-0.003988008138759865
Cr_3,-0.005784982268225368
Cr_4,-0.00845090740513597
Cr_5,-0.009104182950669093
Cr_6,-0.012108870114804157
Fe_1,-0.0035677545737481772
Fe_2,-0.003163688486967321
Fe_3,-0.001019446074889754
Fe_4,-0.007976067551565656
Fe_5,-0.00505356799568512
Fe_6,0.0014471309849822865
Cd_1,0.005069926931095166
Cd_2,0.012365884837042292
Cd_3,0.01809570569386521
Cd_4,0.02281381065682433
Cd_5,0.02390668200937702
Cd_6,0.03186353855437251
Zn_1,0.001994962729378037
Zn_2,0.003432655357322313
Zn_3,0.01598552041333234
Zn_4,0.017426009063704832
Zn_5,0.018925368660926558
Zn_6,0.02126383734118557
Cu_1,-0.00022940655178812906
Cu_2,0.0030369829440218513
Cu_3,0.009878830216376724
Cu_4,0.0127591027348608
Cu_5,0.017061253971080183
Cu_6,0.020270931742589083
Pb_1,0.0066814045048812455
Pb_2,0.014875806588102876
Pb_3,0.02689912434105584
Pb_4,0.040161995711247185
Pb_5,0.05372933683825196
Pb_6,0.07214419871593307
