,ybiA
Cr_1,-0.010412727532473971
Cr_2,-0.016389954175494825
Cr_3,-0.027862785051016137
Cr_4,-0.03753437769634181
Cr_5,-0.04999035971835444
Cr_6,-0.05927768645153642
Fe_1,0.0017672082811103255
Fe_2,0.001694999501827343
Fe_3,0.011858234757193992
Fe_4,0.010547375561032036
Fe_5,-0.0024290507117020795
Fe_6,0.00019743483541622437
Cd_1,-0.002397033577583923
Cd_2,-0.0010196268633070034
Cd_3,0.0021160087369953887
Cd_4,0.0043584511807853365
Cd_5,0.0017835386864717613
Cd_6,0.006873701706196499
Zn_1,0.003229573355082534
Zn_2,0.008860749574425158
Zn_3,0.02709569697299297
Zn_4,0.04039211186556745
Zn_5,0.04996069643917106
Zn_6,0.060700930572364524
Cu_1,-0.0009589304154957821
Cu_2,0.003071419496726673
Cu_3,0.004387921526069907
Cu_4,0.0073156573911890765
Cu_5,0.014649374608715281
Cu_6,0.020638331304242943
Pb_1,8.714411278052801e-07
Pb_2,0.0059680357056328525
Pb_3,0.01663135990164961
Pb_4,0.024662257995386468
Pb_5,0.033608941348167234
Pb_6,0.044850073063578036
