,ygeR
Cr_1,-0.009379354244706348
Cr_2,-0.010070374332799172
Cr_3,0.00239232754831312
Cr_4,0.004902443612194123
Cr_5,0.003383618145861286
Cr_6,0.010328931663215251
Fe_1,-0.012263672021577477
Fe_2,-0.020193480918706447
Fe_3,-0.02480998051497345
Fe_4,-0.041223101607591975
Fe_5,-0.05095858303819256
Fe_6,-0.05477031577288753
Cd_1,-0.0029097571923071878
Cd_2,0.0007740579592331597
Cd_3,0.0024244141065364287
Cd_4,0.011457078505794542
Cd_5,0.016389720040371647
Cd_6,0.02690516728525949
Zn_1,-0.004748169958845632
Zn_2,-0.009525117022065831
Zn_3,-0.008907245638611753
Zn_4,-0.004105567196559449
Zn_5,-0.013855266211271488
Zn_6,-0.02278428434308747
Cu_1,0.010438602025453056
Cu_2,0.0195046729100072
Cu_3,0.02980534839313188
Cu_4,0.03646311925795253
Cu_5,0.04391989636572256
Cu_6,0.05147692297216532
Pb_1,-0.007157338695707356
Pb_2,-0.006023339611772022
Pb_3,-0.0036932173869633905
Pb_4,0.003237404208567701
Pb_5,0.01190501963591025
Pb_6,0.020091926805832428
