,ycbW
Cr_1,0.0007475282739196689
Cr_2,0.002111007979031091
Cr_3,0.005502218000425786
Cr_4,0.0038898492917835478
Cr_5,0.0033757206120419185
Cr_6,0.003754196169343985
Fe_1,-0.004093703684941703
Fe_2,-0.007500849497453962
Fe_3,-0.0245204547136862
Fe_4,-0.036909466611680986
Fe_5,-0.04216076675661561
Fe_6,-0.04047045071886523
Cd_1,0.00023005421337711772
Cd_2,0.003164615150359533
Cd_3,0.007146727074223734
Cd_4,0.012953772879292995
Cd_5,0.015954336948099317
Cd_6,0.025626547920966414
Zn_1,-0.006395101918663258
Zn_2,0.000719037459087078
Zn_3,0.012880654021582479
Zn_4,0.02980271580228106
Zn_5,0.037225080483984416
Zn_6,0.04729962954926957
Cu_1,0.0011413382248642054
Cu_2,0.0036237061504676045
Cu_3,0.010324737734757368
Cu_4,0.023194729269374333
Cu_5,0.035136346783246133
Cu_6,0.045301306669838386
Pb_1,0.007174496726856939
Pb_2,0.018114153717894942
Pb_3,0.030576187551898167
Pb_4,0.04993590016425613
Pb_5,0.061684933691627315
Pb_6,0.07919252294328925
