,glnL
Cr_1,0.005305876955079101
Cr_2,0.012154929831280728
Cr_3,0.016813976868722637
Cr_4,0.0167669258810225
Cr_5,0.020028215343360748
Cr_6,0.02506245597277376
Fe_1,-0.009895533713852036
Fe_2,-0.0344474867123012
Fe_3,-0.06540249155746933
Fe_4,-0.1130079216626324
Fe_5,-0.15874579531906474
Fe_6,-0.1959995908649977
Cd_1,0.0008757597094122086
Cd_2,0.0042250086335940545
Cd_3,0.0010857512870834662
Cd_4,-0.0034087539723090692
Cd_5,-0.009843635138288278
Cd_6,-0.006438973150849951
Zn_1,0.0007937066317931884
Zn_2,-0.0041383789188748216
Zn_3,-0.008016632785941086
Zn_4,-0.013208766916697996
Zn_5,-0.011651781925297764
Zn_6,0.0004723063508248741
Cu_1,-0.0013085813117092895
Cu_2,0.0006191080577010959
Cu_3,0.00393081563747371
Cu_4,0.012873016457558235
Cu_5,0.018349499287333298
Cu_6,0.023431875964890117
Pb_1,-0.010318760858772308
Pb_2,-0.018321832219833915
Pb_3,-0.02037501587992777
Pb_4,-0.0223382322564638
Pb_5,-0.011964020418040028
Pb_6,0.0013634257411481961
