,cmk
Cr_1,-0.0036302454904833617
Cr_2,-0.003134133231019381
Cr_3,-0.0010608094294382675
Cr_4,0.011672438418862216
Cr_5,0.01744325370438581
Cr_6,0.01726989789379036
Fe_1,-0.033000892472957045
Fe_2,-0.062257204553393126
Fe_3,-0.08558056808197488
Fe_4,-0.07937552550528122
Fe_5,-0.08125280376205488
Fe_6,-0.0804878573216108
Cd_1,0.004996015272564602
Cd_2,0.014539858543123443
Cd_3,0.02571991641070687
Cd_4,0.03718511424729407
Cd_5,0.04290438693799861
Cd_6,0.04856717852707393
Zn_1,-0.02298003643113004
Zn_2,-0.032063826686214714
Zn_3,-0.028498009745651625
Zn_4,-0.027036374613005742
Zn_5,-0.023914698727292568
Zn_6,-0.020388302545476217
Cu_1,0.002978210330784804
Cu_2,0.016544554352910322
Cu_3,0.025002254208423155
Cu_4,0.032133948624117184
Cu_5,0.02968584854098345
Cu_6,0.03679068003930303
Pb_1,0.0021387934961891453
Pb_2,0.005942468646206197
Pb_3,0.011071518904167087
Pb_4,0.016254409550672626
Pb_5,0.021150778998299084
Pb_6,0.024107204852172368
