,yjfY
Cr_1,0.0023545764743824853
Cr_2,0.00418094245219478
Cr_3,0.006200837856484174
Cr_4,0.010112763101707093
Cr_5,0.008377305062127808
Cr_6,0.0093684906065954
Fe_1,-0.009854426486095748
Fe_2,-0.024916830751237226
Fe_3,-0.047758314077831085
Fe_4,-0.068676605463552
Fe_5,-0.08677255209847877
Fe_6,-0.1023355923823258
Cd_1,0.003390559370457357
Cd_2,0.010233567360420292
Cd_3,0.012003003050379924
Cd_4,0.01567832105445309
Cd_5,0.011554704492892384
Cd_6,0.014227244224232306
Zn_1,-0.006214911276147305
Zn_2,-0.008557940248417308
Zn_3,-0.009056009799414936
Zn_4,-0.0020803839969221033
Zn_5,-0.001065005206094314
Zn_6,-0.0014067119905260756
Cu_1,0.004722094448058905
Cu_2,0.007934151398594116
Cu_3,0.013083205344425863
Cu_4,0.01584846779884732
Cu_5,0.017852745297294328
Cu_6,0.025206914415483284
Pb_1,0.003984468871972755
Pb_2,0.009461625988178115
Pb_3,0.014267931488441863
Pb_4,0.021489626567779842
Pb_5,0.030820595468648824
Pb_6,0.042652005912245064
