,torT
Cr_1,-0.00456269611752435
Cr_2,-0.004447241704835243
Cr_3,0.0025836490725677217
Cr_4,0.013115805000147827
Cr_5,0.016378726584189613
Cr_6,0.016654755594635726
Fe_1,-0.009131898423760072
Fe_2,-0.034691945925462125
Fe_3,-0.0421575449473736
Fe_4,-0.05476345218590347
Fe_5,-0.059859695317171266
Fe_6,-0.0684182644023704
Cd_1,0.0014839104734609885
Cd_2,0.001799761362252816
Cd_3,0.006783410889961369
Cd_4,0.009421566703252095
Cd_5,0.004718860970887561
Cd_6,0.007527857643983962
Zn_1,-0.00043632729700711766
Zn_2,-0.0007429730638510452
Zn_3,0.00037414887681697713
Zn_4,0.0043353872198205615
Zn_5,-0.007924561486689798
Zn_6,-0.006853085501129095
Cu_1,-0.0008504194650026909
Cu_2,-0.003988365223001789
Cu_3,-0.004272231340120072
Cu_4,-0.006726845854969661
Cu_5,-0.006929930092297857
Cu_6,-0.00192623717997645
Pb_1,-0.0019277992085240145
Pb_2,-0.002797854863391876
Pb_3,-0.00789614148286132
Pb_4,0.0015456454450639351
Pb_5,0.004009910826934542
Pb_6,0.007890230618547982
