,ykfG
Cr_1,-0.00235696097201437
Cr_2,-0.006775870363619378
Cr_3,0.005261581698226763
Cr_4,0.010247996641684557
Cr_5,0.022801181584296424
Cr_6,0.032649944774532626
Fe_1,-0.008967533017787174
Fe_2,-0.03386152618300399
Fe_3,-0.03121477787838478
Fe_4,-0.01875634481219704
Fe_5,-0.010454197902576548
Fe_6,-0.0043865316504135025
Cd_1,-0.0050202988890497326
Cd_2,-0.0022433867541102573
Cd_3,0.002594581678872125
Cd_4,0.007345534566338758
Cd_5,0.006433841490417929
Cd_6,0.016574316299945
Zn_1,-0.03555552174525962
Zn_2,-0.033484420102758684
Zn_3,0.022903874924600682
Zn_4,0.1065435907712104
Zn_5,0.16368787591569806
Zn_6,0.20640021062059835
Cu_1,0.012776670717821369
Cu_2,0.01613915926194717
Cu_3,0.021979931093815644
Cu_4,0.03250486136212346
Cu_5,0.03605393198763024
Cu_6,0.03774971318659221
Pb_1,0.03184185330659306
Pb_2,0.05435012420173393
Pb_3,0.08516247369946782
Pb_4,0.11360472084287655
Pb_5,0.1361585063651889
Pb_6,0.15135151505192618
