,Value,list
TF,fur,
reg_genes,175,"['mntH' 'efeO' 'hybB' 'yhaJ' 'entH' 'hmp' 'fepA' 'nrdI' 'katG' 'cyoA'
 'fnr' 'feoC' 'sufC' 'nrdF' 'gltF' 'map' 'ymgC' 'yagI' 'ygaC' 'sufB'
 'yjhH' 'nrdE' 'sucC' 'nac' 'entB' 'fdhE' 'rmuC' 'garR' 'nagB' 'recN'
 'uxuA' 'yqjH' 'fecE' 'fecA' 'sdhC' 'ompF' 'gltD' 'mntP' 'yhhY' 'fepE'
 'fumC' 'entF' 'ndh' 'ydiE' 'ssnA' 'ftnB' 'ycgZ' 'flhC' 'gspO' 'ymgA'
 'soxS' 'katE' 'ariR' 'ygaQ' 'cyoC' 'garP' 'acnA' 'emrD' 'argF' 'yciO'
 'grcA' 'cdh' 'uxuB' 'yrbL' 'hybA' 'yddA' 'fiu' 'aspC' 'fecC' 'gdhA'
 'sdhB' 'garL' 'sodA' 'yjbJ' 'fhuB' 'glnD' 'umpH' 'fumB' 'yjhI' 'oppF'
 'panM' 'yjjZ' 'metH' 'zapB' 'zinT' 'fecB' 'nohQ' 'yoeA_2' 'glnK' 'oppC'
 'rcnA' 'gmr' 'cyoB' 'sdhD' 'oppB' 'cirA' 'ygfK' 'flhD' 'gpmA' 'cyoD'
 'efeB' 'tfaQ' 'sdhA' 'oppA' 'gnd' 'yoeA_1' 'yddB' 'metJ' 'gltB' 'hybO'
 'purR' 'adk' 'pepD' 'fhuE' 'sufD' 'entA' 'rcnB' 'cyoE' 'entC' 'ynfD'
 'sufE' 'pyrC' 'ybiX' 'amtB' 'rpoS' 'nagC' 'ompR' 'hybF' 'hybD' 'oppD'
 'entD' 'lpd' 'fecD' 'fecR' 'nagA' 'ybdZ' 'hybC' 'entE' 'hybE' 'sucA'
 'yjiT' 'sucB' 'adhP' 'garK' 'stfQ' 'hybG' 'sucD' 'fur' 'zwf' 'sufS'
 'sufA' 'sdiA' 'soxR']"
comp_genes,27,['ydhY' 'preT' 'bfd' 'ydhV' 'gadW']
both_genes,22,"['exbD' 'ftnA' 'tonB' 'fepB' 'yncE' 'ybaN' 'fepG' 'feoA' 'entS' 'fes'
 'fhuF' 'fhuA' 'fhuD' 'fecI' 'fepC' 'feoB' 'fepD' 'efeU_2' 'exbB' 'fhuC'
 'nrdH' 'yojI']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,102,
comp_ops,20,
both_ops,16,
