,A,ArgR
R2,,0.23398001339488983
xmin,,-2.671106088500001
xmid,,1.1606012578165215
xmax,,2.019215942499999
ystart,,0.8138321634726466
yend,,32.654457129098446
Rich_TF_over_stress__BHIN_Growth_Late__1,-0.2376005436119264,0.5207680544999995
Rich_TF_over_stress__BHIN_Growth_Late__2,0.2280807960177516,-0.5075550735000007
Rich_TF_over_stress__BHIN_Growth_Mid__1,0.5763289817956982,-1.593936224500001
Rich_TF_over_stress__BHIN_Growth_Mid__2,3.3586079203660764,-2.3714362485
Rich_TF_over_stress__BHIN_Growth_Stat__1,6.191655565625284,-1.5412530395000008
Rich_TF_over_stress__BHIN_Growth_Stat__2,3.5265334516683766,-1.662779521500001
Rich_TF_over_stress__LBv2_Growth_Late__1,-2.301739655560987,-0.6132754565000003
Rich_TF_over_stress__LBv2_Growth_Late__2,-2.962226883070218,-1.3190181025000003
Rich_TF_over_stress__LBv2_Growth_Mid__1,-0.1378783891672045,0.0896045294999989
Rich_TF_over_stress__LBv2_Growth_Mid__2,0.1378783891672249,-0.0896045295000007
Rich_TF_over_stress__LBv2_Growth_Stat__1,16.68706671116434,-2.442686891500001
Rich_TF_over_stress__LBv2_Growth_Stat__2,17.18075907833919,-2.1713514805000003
Rich_TF_over_stress__MHB_Rich_Mid__1,7.233471127940521,1.1389252004999992
Rich_TF_over_stress__MHB_Rich_Mid__2,7.8104901391010575,0.6503734104999985
Rich_TF_over_stress__NBO_Rich_Mid__1,6.267848577708127,0.6528663814999991
Rich_TF_over_stress__NBO_Rich_Mid__2,8.015213133013054,-0.4401500805000005
Carbons__M9Na_Arabinose_Mid__1,-1.069117146377512,-0.6247438365000004
Carbons__M9Na_Arabinose_Mid__2,1.6206351293076495,-1.389667310500001
Carbons__M9Na_Galactose_Mid__1,-2.277269411500399,0.4007347965000001
Carbons__M9Na_Galactose_Mid__2,-3.01628588093322,0.5167118384999991
Carbons__M9Na_GlcNAcGrowth_Late__1,0.3404720943771791,-0.3788738565000003
Carbons__M9Na_GlcNAcGrowth_Late__2,1.859494363029204,0.032746724499999
Carbons__M9Na_GlcNAcGrowth_Mid__1,-2.731614987351062,-0.1994014875000003
Carbons__M9Na_GlcNAcGrowth_Mid__2,-3.368863229514194,0.0133028124999992
Carbons__M9Na_GlcNAcGrowth_Stat__1,8.762373316856706,0.3096858805
Carbons__M9Na_GlcNAcGrowth_Stat__2,8.142036044187666,0.0657560794999998
Carbons__M9Na_GlcNAc_Mid__1,-1.602347066952227,-0.3724740545000005
Carbons__M9Na_GlcNAc_Mid__2,-1.3654399108274264,-0.4665654145000006
Carbons__M9Na_Gluconate_Mid__1,-7.089429735908093,-0.1819336305000014
Carbons__M9Na_Gluconate_Mid__2,-0.8420696751930637,0.4487541934999992
Carbons__M9Na_Glucosamine_Mid__1,-3.243528337585285,-0.9678818445000008
Carbons__M9Na_Glucosamine_Mid__2,-2.4413250741623505,-0.9432851015000008
Carbons__M9Na_Glycerol_Mid__1,-2.840215658159741,-0.1523872385000011
Carbons__M9Na_Glycerol_Mid__2,-4.197386023564096,0.0185520754999988
Carbons__M9Na_Maltose_Mid__1,3.7407749712298153,-0.8781482405000007
Carbons__M9Na_Maltose_Mid__2,-2.734171230541143,-0.5909392605000008
Carbons__M9Na_Mannitol_Mid__1,-1.9447263536291288,-0.6382145865000011
Carbons__M9Na_Mannitol_Mid__2,-2.54238528800898,-0.259888010500001
Carbons__M9Na_Trehalose_Mid__1,-1.921474657797397,-0.2639881945000004
Carbons__M9Na_Trehalose_Mid__2,1.986699088115826,-0.2870658715000003
Carbons__M9Na_ethanol_Mid__1,-5.31854937431557,-2.5737280035000003
Carbons__M9Na_ethanol_Mid__2,-6.410610192110065,-1.584014369500001
Carbons__M9Na_fructose_Mid__1,-3.726311230766248,0.3071162964999985
Carbons__M9Na_fructose_Mid__2,-2.0303282667149234,-0.5970165735000004
Carbons__M9Na_fumarate_Mid__1,-7.642857273233464,0.4298956324999992
