,yeeX
Cr_1,0.0016475204101180064
Cr_2,0.004262923614731398
Cr_3,0.0043789791399651955
Cr_4,0.006717684811065845
Cr_5,0.004928171561843069
Cr_6,0.004444078075012921
Fe_1,-0.009511852226105042
Fe_2,-0.030674633437147474
Fe_3,-0.054002804074458136
Fe_4,-0.07403340888688706
Fe_5,-0.07585094609587988
Fe_6,-0.08049710756889808
Cd_1,0.0007813195184855357
Cd_2,-0.0021896324430178424
Cd_3,-0.0037132109317101064
Cd_4,0.004296647433235015
Cd_5,0.0058802265374536975
Cd_6,0.013370223014714869
Zn_1,0.0017128855511432464
Zn_2,0.005648857841778202
Zn_3,0.02691219912613624
Zn_4,0.07138549353388904
Zn_5,0.12830049506963026
Zn_6,0.17817985049908058
Cu_1,0.00493855276315004
Cu_2,0.006814777588476407
Cu_3,0.010306075755322336
Cu_4,0.009954514964530209
Cu_5,0.01153165146017322
Cu_6,0.016541342728573608
Pb_1,0.0022475314776179856
Pb_2,0.008653330736002395
Pb_3,0.013766823680078769
Pb_4,0.020581255139394947
Pb_5,0.023520107245908133
Pb_6,0.02735837533444339
