,dcuA
Cr_1,0.0021848645334319253
Cr_2,0.0015276833575520931
Cr_3,0.003820710265474515
Cr_4,0.007975213341710346
Cr_5,0.007874186672580413
Cr_6,0.007738088167126891
Fe_1,-0.00813119516175275
Fe_2,-0.019899241732368254
Fe_3,-0.034155625924790566
Fe_4,-0.05008383985835267
Fe_5,-0.06257574413043969
Fe_6,-0.07037138700824352
Cd_1,0.0013078036649581005
Cd_2,0.0012193204138851402
Cd_3,-0.0015955260212836815
Cd_4,-0.00831957281270477
Cd_5,-0.02012972587497889
Cd_6,-0.023630004777860862
Zn_1,-0.0038600390352158025
Zn_2,-0.010002631582361908
Zn_3,-0.0070674789423842
Zn_4,0.0018437752588469636
Zn_5,0.004668672039892915
Zn_6,0.0009517517050993386
Cu_1,0.007280607489887498
Cu_2,0.01905689276525192
Cu_3,0.028551527009206143
Cu_4,0.03694817928763459
Cu_5,0.04663648076246535
Cu_6,0.054931718764013225
Pb_1,0.0023237582639596076
Pb_2,0.007471785314684542
Pb_3,0.020250518054329224
Pb_4,0.03410362109499212
Pb_5,0.04822917815930155
Pb_6,0.06322654095327504
