,A,SknR
R2,,0.22853818244108592
xmin,,-4.1761666667
xmid,,
xmax,,0.8190333333
ystart,,-26.868754275183377
yend,,4.619241834049406
LBexp_1,-0.6053145319000001,-1.0086666667
LBexp_2,1.3641675031,-0.1660666667
LBexp_3,-5.8855648976,-0.5837666667
LBtran_1,-11.8209769409,-0.0222666667
LBtran_2,-7.6510046626,-0.1002666667
LBtran_3,-11.5575309452,-0.6193666667000001
LBstat_1,-8.7220801406,-1.1805666667
LBstat_2,-16.5458870493,-1.8033666667000001
LBstat_3,-20.6396112028,-2.0741666667
LBGexp_1,-2.5986504133,-0.7413666667000001
LBGexp_2,-2.9420787555,0.0287333333
LBGexp_3,-4.1571086094,-0.5306666667000001
LBGtran_2,-13.2088085383,-0.0046666667000000005
LBGtran_3,-5.142690179,-0.0248666667
LBGstat_1,-9.6623463963,-0.6763666667
LBGstat_2,-16.8779799463,-1.3262666667
LBGstat_3,-19.7991236983,-0.2316666667
S0_1,-0.9603800335,-1.0411666667
S0_2,-4.7817190058,-1.1891666667
S0_3,-6.4517843534,-1.1568666667
S1_1,3.6394419839000003,-0.0591666667
S1_2,2.0830657271,-0.25726666670000004
S1_3,5.8750270265,-0.1160666667
S2_1,-11.0408132975,-0.4652666667
S2_2,-6.1464755901,-0.3548666667
S2_3,-7.6233585807,-0.3692666667
S3_1,7.4896586952,-0.12266666670000001
S3_2,10.8226765859,-0.1702666667
S4_1,4.2596081457,-0.00046666670000000004
S4_2,6.7978027095,-0.4473666667
S4_3,5.123682539,-0.7068666667
S5_1,7.117391341,-1.0694666667
S5_2,8.0796320405,-0.5286666667000001
S5_3,9.7286663859,-0.7811666667
S6_1,-0.3895995023,-1.9185666666999999
S6_2,-26.7607547944,-3.5754666667
S6_3,1.8968510717,-1.8190666667
S6/t_1,-11.0748696291,-1.8374666667000001
S6/t_2,-35.3655914721,-4.1761666667
S6_4,-10.6634618023,-1.9766666667
S6_5,-5.0367400753,-1.7993666667000001
S6_6,-1.6314051486999999,-1.7240666667
S7_4,-15.4288201862,-1.0868666667
S7_5,-18.9945626328,-1.2161666667
S7_6,-20.7349207584,-1.1573666667
S8_4,-21.4265778941,-1.5779666667
S8_5,-35.0963971176,-1.5417666667
G135_1,-7.5614867297,-1.0747666667
G135_3,-30.5281336936,-2.9510666667
G150_1,-10.7301313102,-1.7538666667
G150_2,-0.8069565519,-1.4175666667
G150_3,-7.6974793364,-1.1065666667
G180_1,-10.2909716961,-1.2122666667
G180_2,-2.4430165185,-0.9362666667
G180_3,-15.4637319968,-1.5433666667
C30_1,-25.623388097,-1.5100666667
C30_2,-23.0442215577,-1.3329666667
C90_1,-13.2307770262,-0.7269666667
C90_2,1.5347535722,-0.8568666667
BI_1,2.8959057550000002,-1.5106666667000002
BI_2,6.9734655294,-1.1999666667
BC_2,0.0690795584,-1.1327666667
BC/t_1,-13.3115907694,-1.5841666667
BC/t_2,-19.5889190891,-0.7886666667000001
BC_1,-10.9765817835,-1.3445666667
Sw_1,-3.1396826299,-2.8761666667
Sw_2,2.5479994604,-2.0447666667
BT_1,-0.5803843238,-1.5454666666999999
BT_2,-5.1807325207,-1.9808666667
B36_1,4.1821863531,-2.2808666667
B36_2,2.2254145580999998,-2.1258666667
B60_1,1.9788093962,-0.9870666667
B60_2,1.2905856112,-0.5086666667
M9exp_1,4.264418593,0.2263333333
M9exp_2,-1.263085722,-0.015466666700000001
M9exp_3,-3.001332871,-0.2108666667
M9tran_1,-8.7458825146,-0.2393666667
M9tran_2,-9.2653033346,-0.37776666670000003
M9tran_3,-2.5587618561000003,-0.0830666667
M9stat_1,-28.5752922849,-1.1764666667
M9stat_2,-35.0907747489,-1.1400666667000001
M9stat_3,-34.0314788087,-1.4447666667
M+G_1,-21.0442708633,-0.7341666667000001
M+G_2,-3.2431565017,-0.4995666667
M+G_3,-3.7029660917,-0.3818666667
Glu_1,1.8531093612,-0.0144666667
Glu_2,0.721693176,-0.35006666670000003
Glu_3,1.6019903065999999,-0.0185666667
Fru_1,1.5252287114,0.0483333333
Fru_2,-0.6171433188000001,-0.0769666667
Fru_3,-7.3406218052,-0.3608666667
Mal_1,-9.3508794087,-1.1229666667
Mal_2,-8.8073942701,-0.5559666667000001
Mal_3,-2.9161998518,-0.3763666667
G+S_2,1.3842252483,-0.7675666667000001
G+S_3,3.9792115604,-0.5987666667
Pyr_1,-7.1575481924,-1.1117666667
Pyr_2,1.7607705411999999,-0.9241666667
Pyr_3,-4.988688815,-0.9879666667
Gly_1,-19.5063812228,-0.7607666667
Gly_2,-8.768794977,-0.1823666667
Gly_3,-34.3015454162,-1.2364666667
Glucon_1,-18.3753299222,-0.9218666667000001
Glucon_2,-8.6914777074,-0.6161666667
Glucon_3,-32.7893587979,-1.2443666667
aero_1,5.6839513034,-0.4713666667
aero_2,-11.4732284218,-0.5417666667000001
aero_3,5.9443972388,-0.12026666670000001
nit_1,8.075239957400001,-0.7293666667
nit_2,8.5560511914,-0.1922666667
nit_3,7.9006432592,-0.6727666667000001
