,-0.061346039411764704,-0.05521143547058823,-0.04907683152941176,-0.042942227588235286,-0.036807623647058814,-0.03067301970588234,-0.02453841576470587,-0.018403811823529397,-0.012269207882352924,-0.006134603941176452,2.0816681711721685e-17,0.006134603941176493,0.012269207882352966,0.018403811823529438,0.02453841576470591,0.030673019705882383,0.036807623647058856,0.04294222758823533,0.0490768315294118,0.05521143547058827
thresh,-0.0521441335,0.0521441335,2,,,,,,,,,,,,,,,,,
unreg,0,10,16,25,34,52,103,191,334,577,953,1053,617,206,70,23,14,2,2,0
SknR,2,4,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],['yqzN' 'yqbS' 'yqbP' 'yqcB' 'yqbT' 'yqcA' 'yqbQ' 'lnrM' 'yqbR' 'yhjO'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
SknR_genes,['yqaH' 'yqaG'],['yqdA' 'yqaI' 'yqaL' 'yqaJ'],['yqaK' 'yqaM'],[],['yqaF'],[],['yqzO' 'yqaN'],[],[],[],[],[],[],[],[],[],[],[],[],[]
