locus,gene_weight,gene_name,gene_product,cog,operon,regulator,SknR,link
new_490527_490638_c,0.056559969,S144,independent transcript,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_490527_490638_c
BSU_10580,-0.052178147,yhjO,unknown,Amino acid transport and metabolism,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU10580
BSU_26000,-0.052288036,yqbR,unknown,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26000
BSU_08320,-0.052920618,lnrM,[SW|ABC transporter] (membrane protein),Defense mechanisms,lnrL->lnrN,"LnrK,SigG,SigF",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08320
BSU_26290,-0.053011825000000005,yqaJ,unknown,"Replication, recombination and repair",yqaF->yqaN,"SigA,SknR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26290
BSU_26010,-0.054096292000000004,yqbQ,unknown,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26010
BSU_26270,-0.054672265000000005,yqaL,unknown,"Replication, recombination and repair",yqaF->yqaN,"SigA,SknR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26270
BSU_25970,-0.054983043,yqcA,unknown,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU25970
BSU_25980,-0.055449036,yqbT,unknown,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU25980
BSU_26300,-0.055773513000000004,yqaI,unknown,No COG category,yqaF->yqaN,"SigA,SknR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26300
BSU_25960,-0.056006678000000004,yqcB,unknown,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU25960
BSU_26330,-0.056526037,yqdA,unknown,No COG category,yqaF->yqaN,"SigA,SknR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26330
BSU_26020,-0.057354009000000004,yqbP,unknown,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26020
BSU_25990,-0.057952622,yqbS,unknown,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU25990
BSU_26089,-0.05809136300000001,yqzN,unknown,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26089
BSU_26320,-0.058846723000000004,yqaG,unknown,No COG category,yqaF->yqaN,"SigA,SknR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26320
BSU_26310,-0.059928303,yqaH,unknown,No COG category,yqaF->yqaN,"SigA,SknR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26310
