,A,ResD
R2,,0.7056818717454234
xmin,,9.2519
xmid,,11.950831614560775
xmax,,15.0874
ystart,,-1.4669103781475314
yend,,31.291948102940538
LBexp_1,3.4481013031,13.0705
LBexp_2,12.3003504203,13.1806
LBexp_3,11.829442347,13.0277
LBtran_1,6.7356799598,12.9851
LBtran_2,15.38258553,13.7785
LBtran_3,19.9786419373,14.3529
LBstat_1,35.5406234868,14.8481
LBstat_2,35.6509134165,14.7726
LBstat_3,35.5533159406,14.6178
LBGexp_1,9.2381085348,13.0864
LBGexp_2,-1.8688987515000002,11.8936
LBGexp_3,5.8145958023,12.5588
LBGtran_2,11.2392294839,13.1291
LBGtran_3,10.3029622689,13.3714
LBGstat_1,20.1823197686,12.5441
LBGstat_2,16.717519287800002,11.9883
LBGstat_3,18.8898243701,13.0739
S0_1,19.6493935147,14.2143
S0_2,18.3454899626,14.2394
S0_3,23.3723695718,14.8719
S1_1,-2.3817575568000002,12.384
S1_2,-2.6415356665000003,12.477
S1_3,-2.7235785548,12.7985
S2_1,29.4861801897,14.2759
S2_2,24.3820094549,14.0517
S2_3,32.020103228,14.365
S3_1,15.8774540046,13.4608
S3_2,5.1067774684,12.4497
S4_1,7.0724377542,12.5575
S4_2,13.5323984555,12.866
S4_3,10.2747946527,12.087
S5_1,9.357273799,12.654
S5_2,9.2279281748,12.8787
S5_3,10.6498898514,13.1691
S6_1,9.6007839139,12.1441
S6_2,-3.9995360702,10.0976
S6_3,12.90361235,12.5454
S6/t_1,6.528532973,11.9057
S6/t_2,-6.2739590994,9.2519
S6_4,7.0435482926,11.9819
S6_5,9.4293955057,12.7646
S6_6,9.9294725475,12.5974
S7_4,6.4091430909,12.2228
S7_5,4.6339048594,11.9994
S7_6,4.9515194392,12.4317
S8_4,6.2438275944,12.1822
S8_5,-4.0797949695,10.4861
G135_1,7.8622488715,13.9171
G135_3,2.5283165833,11.3731
G150_1,3.5326854554000002,13.2224
G150_2,5.4741965508,13.4916
G150_3,3.5800496246,13.5402
G180_1,5.8247471478,12.852
G180_2,6.8333531956,13.388
G180_3,5.3611929915,12.0998
C30_1,-3.302467264,11.1874
C30_2,-3.4060581829,11.4725
C90_1,-5.894578232,11.5092
C90_2,-5.0790374276,11.8023
BI_1,22.3296758996,14.2225
BI_2,22.2834826417,14.4579
BC_2,13.1281002571,13.5983
BC/t_1,13.4511465973,13.1737
BC/t_2,9.5173598425,13.3033
BC_1,13.7769190838,13.237
Sw_1,9.8568330877,12.7993
Sw_2,11.2057086664,13.4223
BT_1,22.5196275825,13.2502
BT_2,20.2882306125,12.6825
B36_1,13.720114862900001,13.330400000000001
B36_2,14.4279447532,12.8515
B60_1,16.082164508,12.9003
B60_2,14.6325539099,12.3477
M9exp_1,-0.5622667033000001,12.3469
M9exp_2,-0.8196615788,11.9111
M9exp_3,1.3819282821,11.8585
M9tran_1,14.0097796956,13.1443
M9tran_2,20.4641606355,13.4129
M9tran_3,5.1127413059,12.2794
M9stat_1,4.3763522534,11.1896
M9stat_2,5.710623811,11.1526
M9stat_3,6.7476760676000005,10.9146
M+G_1,10.3656677798,12.6925
M+G_2,8.321920606,12.4249
M+G_3,10.1872283795,12.3963
Glu_1,-0.7282838201,12.3354
Glu_2,0.0982719069,12.3126
Glu_3,-1.7052211945,12.3514
Fru_1,7.0786531851,12.6121
Fru_2,-0.6177345603000001,12.6413
Fru_3,0.2023172214,11.8383
Mal_1,12.9148393542,12.9177
Mal_2,8.3885886982,12.924900000000001
Mal_3,13.0941830394,13.3814
G+S_2,0.7031810529,12.3684
G+S_3,1.776691805,12.8097
Pyr_1,-0.15375565970000002,11.7029
Pyr_2,0.2092465946,12.0329
Pyr_3,0.9520936956,12.1498
Gly_1,7.3606753815,11.6389
Gly_2,8.216926222,12.4015
Gly_3,5.4307178689,10.6915
Glucon_1,-4.1216149277,11.8377
Glucon_2,-3.3348061275,12.098700000000001
Glucon_3,2.1349173611,11.6825
aero_1,-1.0413520507,12.111
aero_2,1.1298236099,11.2209
aero_3,8.1042893196,12.6918
nit_1,27.3475947915,14.4433
nit_2,33.3946596396,14.6764
nit_3,28.7613225218,14.3712
ferm_1,27.1955349511,14.3306
ferm_2,30.4815887361,14.455
ferm_3,24.3593847482,14.7352
T-5.40H_1,-2.9551216451,12.5305
T-4.40H_1,-2.1402684783,12.3217
T-3.40H_1,-0.651880054,12.123
T-2.40H_1,-0.6082019234,12.1086
T-1.40H_1,0.3228666074,12.0393
T-1.10H_1,0.7193317128000001,12.4255
T-0.40H_1,-0.1008019712,12.1341
T0.0H_1,-0.4955801832,12.3529
T0.30H_1,11.6464886009,12.2484
T1.0H_1,6.5243477227,11.7285
T1.30H_1,8.6798778772,11.7203
T2.0H_1,6.269149965,11.7289
T2.30H_1,6.030176022,12.4581
T3.0H_1,5.5294313536,11.9968
T3.30H_1,4.9346151713,12.2872
T4.0H_1,4.7575771035,12.2654
T5.0H_1,1.9551684037000001,11.489
HPh_1,-4.0329048565,11.7888
HPh_2,-3.7455714726,11.5435
HPh_3,-3.7269915571,11.6723
LPh_1,-4.2324107304,11.775
LPh_2,-2.3585786948,12.4524
LPh_3,-3.2846178782,12.0531
LPhT_1,8.4172585049,12.7546
LPhT_2,12.2513699173,12.9405
LPhT_3,15.4735279591,13.4579
SMMPr_1,2.7360241938,12.2022
SMMPr_2,8.557017194,12.4547
SMMPr_3,8.5613744712,12.7376
HiTm_1,4.9394416415,12.3591
HiTm_2,3.5444318894,12.6306
HiTm_3,5.1374790983,12.6147
LoTm_1,-0.8960960225,12.05
LoTm_2,-1.0311913255,11.8264
LoTm_3,-1.0682487138,11.8303
HiOs_1,-5.1098368645,11.959
HiOs_2,-5.3325404686,11.61
HiOs_3,-4.3920779183,11.7168
BMM_1,-4.1374687173,11.7838
BMM_2,-4.2199250721,11.4898
BMM_3,-4.9488972079,11.2947
Heat_1,-5.9239453767,12.1364
Heat_2,-6.2411672404,12.0575
Heat_3,-6.7420096548,11.736
Cold_1,-5.2798542878,11.9911
Cold_2,-6.3357513896,10.9134
Cold_3,-6.687400687,10.438
Etha_1,-6.1751940414,11.4532
Etha_2,-6.6766013399,10.5186
Etha_3,-6.480342712,11.1597
SMM_1,-0.9212802329,12.157
SMM_2,-0.7737828339,12.0407
SMM_3,-1.1225584473,11.8953
Salt_1,-9.6716460486,11.0214
Salt_2,-9.3990551995,10.8951
Salt_3,-9.0047316132,11.0872
Mt0_1,-0.3928034428,12.4876
Mt0_3,0.3364891801,13.1402
M0t45_1,25.7234081407,14.2259
M0t45_2,5.6222349765,12.538
M0t45_3,25.469801524,14.6596
M0t90_1,26.7257958553,13.9252
M0t90_2,33.2743088463,15.0874
M0t90_3,28.4135224972,14.3289
M40t45_1,22.6274213231,14.1401
M40t45_2,9.070947309,12.9974
M40t45_3,24.9569294764,14.7328
M40t90_1,28.1101664797,14.0923
M40t90_2,33.3422243847,14.8003
M40t90_3,26.9626260674,14.4445
dia0_1,3.683473009,12.7615
dia0_2,-0.2487140807,13.0084
dia0_3,6.7307127041,13.6106
dia5_1,3.3679327843999998,13.0694
dia5_2,-3.2108638971,12.6797
dia5_3,-1.3747087757,12.6668
dia15_1,-6.0147143514,13.3758
dia15_2,-5.4827935064,12.6693
dia15_3,-3.488003984,10.855
Diami_1,-4.5545401666,11.675
