,ydbH
Cr_1,0.009440889545390036
Cr_2,0.020750667077674798
Cr_3,0.0259527685110747
Cr_4,0.025033422020808268
Cr_5,0.031753678407322496
Cr_6,0.037569886655326484
Fe_1,-0.04477904695546038
Fe_2,-0.10625728543481898
Fe_3,-0.15879828206139984
Fe_4,-0.19807373942233608
Fe_5,-0.21729674433994486
Fe_6,-0.2438431442489589
Cd_1,0.005274785159214793
Cd_2,0.016516721814976883
Cd_3,0.023351502392755658
Cd_4,0.03323376648628467
Cd_5,0.033077409789633465
Cd_6,0.03670249467414182
Zn_1,0.05017062207398506
Zn_2,0.0035567272915823594
Zn_3,-0.01752726888110079
Zn_4,-0.02295360004646269
Zn_5,-0.024833391337327787
Zn_6,0.013978831725792572
Cu_1,-0.005535708409857611
Cu_2,-0.004320307066726344
Cu_3,-0.001572114087430885
Cu_4,-0.0004885816554816342
Cu_5,0.003271446133840845
Cu_6,0.013016624174607468
Pb_1,0.016558465170506756
Pb_2,0.017562554144061104
Pb_3,0.007446989379472166
Pb_4,0.0072866382840888425
Pb_5,0.01861567427076081
Pb_6,0.03870038157389995
