,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,-4.625929269271485e-18,0.2618540111019307,3.0,0.0,-0.2345216588,1.0,0.282540038,2.0,-0.0480183792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-1.3458946455333332,0.31972126755016955,3.0,3.0,-1.4849554179,4.0,-1.5725369541,5.0,-0.9801915646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-1.7860016081,0.09858721801493095,3.0,6.0,-1.8120073389,7.0,-1.8689790325,8.0,-1.6770184529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.7619074688711636e-12,0.24316717707768087,21.0,9.0,0.29529423200000005,10.0,0.31508175,11.0,-0.051172432000000004,12.0,0.2701337125,13.0,0.3059952257,14.0,0.0828574098,15.0,-0.1826900687,16.0,-0.12240355380000001,17.0,-0.15305303110000001,18.0,-0.6854005493,19.0,-0.4164254922,20.0,0.0750422743,21.0,-0.1003945947,22.0,-0.0625102172,23.0,-0.0210886041,24.0,0.2223797959,25.0,0.1452052389,26.0,-0.0623223262,27.0,0.0020178595,28.0,0.0838890368,29.0,0.0595643338
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,-2.3094936355142854,0.3799598503696378,21.0,30.0,-2.5407605285,31.0,-2.064401971,32.0,-1.8218918367999999,33.0,-2.1910506375,34.0,-1.8443406602999999,35.0,-2.5663090389,36.0,-2.2817086571000003,37.0,-2.4376762338,38.0,-2.5241618053,39.0,-1.7542482259,40.0,-1.4810478378,41.0,-2.3577251692,42.0,-2.1722663505,43.0,-2.5582854887,44.0,-2.1427081041,45.0,-2.4427765291,46.0,-3.1127411555,47.0,-2.4418138453,48.0,-2.5716178709,49.0,-2.876707746,50.0,-2.3151266536
5,WT_vs_Del_ccpA__THY_None_WT_exponential,0.0,0.21473324602558608,3.0,51.0,0.173287711,52.0,-0.24023061880000002,53.0,0.0669429078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-0.41803372322500004,0.19896873213726385,4.0,54.0,-0.6659337108000001,55.0,-0.2327505127,56.0,-0.2842046861,57.0,-0.4892459833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-4.336808689942018e-19,0.029297377693580418,4.0,58.0,0.018657594200000002,59.0,-0.0427114769,60.0,0.0195548329,61.0,0.0044990498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,0.030940253874999997,0.0656856116145378,4.0,62.0,0.1173775637,63.0,-0.017384330700000002,64.0,0.0466030128,65.0,-0.022835230300000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-0.02372674605,0.02236685964193355,4.0,66.0,-0.039292979000000006,67.0,-0.0009381591000000001,68.0,-0.0462207291,69.0,-0.008455117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
