,A,PaaX,ihfB,Crp
R2,,0.19584925054772873,0.014634640541560384,0.0011832191274587789
xmin,,-3.5206762605,-2.385835026,-9.852476477
xmid,,-2.5268266578759824,,
xmax,,2.6837120975,1.646649845,1.6003325529999999
ystart,,-2.757956475730073,-0.7422176379456218,1.3020952446385008
yend,,5.475310869547457,1.0565320197891928,0.20358454935747092
ecoli_00001,0.2815060529,-0.1246614905,0.08337238500000001,0.012478646000000001
ecoli_00002,-0.2815060529,0.1246614905,-0.08337238500000001,-0.012478646000000001
ecoli_00003,1.7048133027999999,0.0621737385,0.7158603250000001,0.077574131
ecoli_00004,2.0797762142,-0.0043076545,0.8566654450000001,-0.090682171
ecoli_00005,0.4515599782,-0.6728414345,-0.076995065,-0.030513673
ecoli_00006,0.6618999322,-0.9138425465000001,-0.086717445,0.05819072
ecoli_00007,0.2961786859,-0.0540440765,0.689803445,-0.105981984
ecoli_00008,0.2896322244,-0.0175852965,0.621869415,-0.22346684100000003
ecoli_00009,2.4836565598,-0.9642693585000001,0.365818715,0.436429913
ecoli_00010,2.2666634274,-0.8297661015000001,0.335810425,0.367563393
ecoli_00011,0.1035827055,0.037704258500000004,0.284257435,0.345522573
ecoli_00012,0.0085664386,0.08597431650000001,0.301657345,0.343136463
ecoli_00014,-0.8254911428,0.12275780850000001,0.036205125000000005,0.33938771300000004
ecoli_00015,0.0131167769,-0.0292800335,0.19517709500000002,0.383863793
ecoli_00016,-0.33286183900000005,-0.017174071500000002,0.183183425,0.33986178300000003
ecoli_00017,0.3005742542,-0.0641430685,0.33218594500000004,0.43240872300000005
ecoli_00018,0.43706993190000004,0.15233399150000002,0.239560985,0.482436193
ecoli_00019,2.3301001027,-0.0107931055,0.946614625,0.17662370300000002
ecoli_00020,2.3886866434,0.0922052435,0.9488081850000001,0.24038529300000003
ecoli_00021,1.9027718832,0.45225193150000004,0.874908725,0.513155013
ecoli_00022,1.3797273785,0.3479107495,0.9672342150000001,0.536337303
ecoli_00023,1.4516795866,-0.4046532275,1.071325345,0.334672533
ecoli_00024,1.1188413777,-0.40148502150000004,1.168231695,0.387059873
ecoli_00025,1.544780309,0.1609351875,1.135143795,0.513462963
ecoli_00026,2.1201936514,0.2148189855,1.020138575,0.5104807530000001
ecoli_00027,0.6299106106,-0.0457888695,0.172544145,-0.07279683
ecoli_00028,0.0888079816,-0.1488299995,0.213025175,-0.093243951
ecoli_00029,0.2365537121,-0.0842761895,0.457530655,-0.043119613
ecoli_00030,-0.2708525399,-0.0692983415,0.597994515,-0.07348926
