,-0.0712597005857143,-0.04750646705714287,-0.023753233528571435,0.0,0.023753233528571435,0.04750646705714287,0.0712597005857143,0.09501293411428573,0.11876616764285718,0.14251940117142864,0.16627263470000003,0.19002586822857148,0.21377910175714293,0.23753233528571438,0.2612855688142858,0.2850388023428572,0.30879203587142867,0.3325452694000001,0.35629850292857157,0.38005173645714296
thresh,-0.08313631735000002,0.08313631735000002,6,,,,,,,,,,,,,,,,,
unreg,4,25,356,2789,327,16,4,0,1,0,0,0,0,0,0,0,0,0,0,0
IHF,1,2,19,100,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,4,62,324,65,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
PaaX,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and Crp,0,0,9,48,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHF, Crp, and PaaX",0,0,0,0,2,1,1,1,0,1,2,1,1,1,0,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],['putA'],[],[],[],[],[],[],[],[],[],[],[]
IHF_genes,['tyrP'],['hypA' 'nrfG'],"['patA' 'nuoN' 'fimB' 'rtcB' 'hycE' 'hypE' 'hycF' 'pspD' 'glcD' 'pspE'
 'rtcA' 'ssuC' 'glcF' 'hypC' 'hycH' 'narG' 'nrfA' 'hypD' 'nrfE']","['ilvM' 'prfA' 'hycI' 'ilvG' 'atoE' 'adiA' 'phoU' 'hipA' 'hycG' 'fimI'
 'atoA' 'folA' 'uspA' 'pstB' 'osmE' 'hycC' 'ulaG' 'proV' 'sra' 'dmsC'
 'nuoJ' 'uspB' 'nuoM' 'ndh' 'ssuB' 'htrE' 'fimH' 'carA' 'carB' 'nrfB'
 'hycB' 'ihfA' 'proW' 'hypB' 'fimA' 'glcE' 'narH' 'ihfB' 'narI' 'sufE'
 'sufA' 'glnH' 'fliA' 'sufS' 'yjbF' 'pstC' 'dps' 'nuoL' 'prmC' 'sufC'
 'ilvA' 'narJ' 'amiA' 'fimG' 'nuoH' 'atoD' 'norW' 'fhlA' 'fimF' 'sufD'
 'fliZ' 'yjbH' 'ubiC' 'fimD' 'hemA' 'dmsB' 'nuoG' 'nuoK' 'yjbG' 'glnQ'
 'yjbE' 'sufB' 'yeiL' 'nuoI' 'ilvD' 'nrfD' 'ibpB' 'tcyJ' 'proX' 'hycD'
 'pstS' 'pstA' 'hemF' 'nuoF' 'dmsA' 'fimC' 'pspA' 'ilvE' 'pspG' 'glcG'
 'dcuD' 'cysJ' 'nuoC' 'glnP' 'fnr' 'hipB' 'glcB' 'norV' 'nuoE' 'nuoA']","['pspC' 'cysI' 'nuoB' 'nrfC' 'yadV' 'pspB' 'atoB' 'cysH' 'dppC' 'narK'
 'ssuD' 'ssuE' 'dppF' 'dppA' 'dppD' 'ssuA' 'ompC' 'dppB' 'hycA' 'ubiA'
 'nrfF' 'glcA']",['mtr'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],['ortT' 'hyfE' 'treC' 'grcA'],"['treB' 'ansB' 'agp' 'hyfH' 'idnK' 'pck' 'nanA' 'mdh' 'focB' 'srlA' 'hyfJ'
 'prpD' 'nanE' 'cspD' 'glgS' 'lpd' 'idnD' 'xylB' 'mokB' 'nupG' 'caiE'
 'rhaR' 'fur' 'dsdX' 'aceE' 'araJ' 'aceF' 'mazF' 'cas3' 'hupB' 'rihA'
 'mtlD' 'fucO' 'rbsA' 'cas2' 'nanT' 'mazE' 'yqeF' 'malM' 'idnO' 'dsdA'
 'nanK' 'rhaB' 'umpH' 'deoC' 'ompW' 'yhcH' 'casC' 'dcuB' 'arfB' 'aaeX'
 'mtlR' 'entA' 'raiA' 'marB' 'bglG' 'ynfK' 'dpiA' 'cdd' 'araF' 'pdhR'
 'ilvN']","['glnG' 'nagE' 'nupC' 'chbA' 'sgcB' 'fumB' 'uxaA' 'aldB' 'rbfA' 'dadX'
 'aaeR' 'fumC' 'rbsB' 'lamB' 'gutQ' 'cyaA' 'fixA' 'chbC' 'sdhB' 'entB'
 'citF' 'cspE' 'tam' 'serA' 'gabT' 'crp' 'gadE' 'rbsC' 'pgk' 'casE' 'galT'
 'dpiB' 'chbF' 'aegA' 'aaeB' 'oxyR' 'glpE' 'mhpD' 'fadD' 'fucA' 'glpK'
 'mpl' 'uxuR' 'srlB' 'xseA' 'mtlA' 'ldtB' 'marR' 'gabP' 'aer' 'acnB' 'fiu'
 'gyrA' 'nrdB' 'gabD' 'uxuB' 'glpC' 'dadA' 'srlR' 'galE' 'uxuA' 'rimP'
 'ybiT' 'idnR' 'rbsD' 'exuR' 'hyfF' 'caiA' 'caiB' 'casD' 'bglB' 'cstA'
 'cpdB' 'preA' 'mglB' 'dksA' 'cyoC' 'hflK' 'fucR' 'ilvB' 'crr' 'ascF'
 'aldA' 'hyfC' 'uxaB' 'yfaE' 'dcuA' 'pncB' 'ykgR' 'ptsI' 'cytR' 'idnT'
 'entE' 'narQ' 'grpE' 'xylE' 'ppiA' 'truB' 'hflX' 'trxA' 'entD' 'fumA'
 'pnp' 'caiF' 'abgR' 'fucU' 'psiE' 'lsrF' 'glpA' 'chbR' 'glpB' 'dgoK'
 'puuR' 'galP' 'puuC' 'relA' 'prpB' 'glpR' 'trg' 'glnA' 'epd' 'feaR'
 'caiD' 'sgcR' 'preT' 'gatD' 'dcuR' 'prpC' 'glpF' 'nagB' 'udp' 'glpD'
 'yjhI' 'sgcQ' 'yjhG' 'uidC' 'modC' 'nusA' 'gpsA' 'ptsH' 'comR' 'patZ'
 'deoD' 'rpsF' 'puuE' 'glnL' 'nrdA' 'uxaC' 'sgcA' 'prpE' 'fucI' 'gatC'
 'rhaA' 'fadL' 'glpG' 'puuB' 'yahN' 'hflC' 'sfsA' 'nagC' 'sdhC' 'bhsA'
 'hyfR' 'rbsR' 'entH' 'manZ' 'rhaS' 'nfuA' 'gntU' 'sdhA' 'yaeP' 'deoB'
 'ygeW' 'gapA' 'gadA' 'hyfD' 'nagA' 'casA' 'guaB' 'rpsO' 'srlD' 'galS'
 'nadC' 'modA' 'chiP' 'marA' 'manY' 'fucP' 'lsrR' 'ompA' 'sgcE' 'malI'
 'malG' 'xylR' 'citD' 'yeiP' 'araH' 'aroA' 'sohB' 'gcvP' 'malT' 'fbaA'
 'lsrG' 'manA' 'galK' 'serC' 'infB' 'rplI' 'nlpE' 'yaeQ' 'rbsK' 'nanM'
 'sgcC' 'chbB' 'araG' 'araC' 'ygeA' 'puuD' 'mhpF' 'araA' 'yhfA' 'ygcW'
 'rhaT' 'hofM' 'chbG' 'speC' 'mhpE' 'hupA' 'rof' 'tsx' 'secB' 'dgoT'
 'ychH' 'cyoB' 'sgcX' 'csiD' 'manX' 'xylA' 'glcC' 'galM' 'ascB' 'gcvH'
 'acnA' 'cyoA' 'rpoS' 'uidA' 'srlE' 'malS' 'gatY' 'ebgA' 'psuK' 'nanS'
 'priB' 'dgoR' 'mhpA' 'cas1' 'gatA' 'yihW' 'fecE' 'ampE' 'mlc' 'gatZ'
 'cyoD' 'hfq' 'bglF' 'hlyE' 'glgC' 'hyfG' 'citG' 'rplM' 'hofB' 'metK'
 'hyfA' 'hofC' 'dctA' 'glgP' 'btsT' 'ubiG' 'tnaA' 'ptsG' 'lsrK' 'ycdZ'
 'modB' 'lsrD' 'malK' 'araE' 'sdhD' 'hicA' 'ampD' 'exuT' 'hicB' 'gadB'
 'glgA' 'lgoR' 'citC' 'dgoD' 'caiC' 'gatB' 'guaA' 'murQ' 'cyoE' 'rpsI'
 'mglA' 'uidB' 'rhaD' 'chiQ' 'citE' 'araB' 'sbmC' 'gntP' 'yjhH' 'gutM'
 'xylF' 'lhgO' 'mdtF' 'hofN' 'kbaZ' 'casB' 'malY' 'ppdD' 'lsrB' 'fixC'
 'mhpC' 'murP']","['rpsR' 'glpX' 'mhpB' 'ugpB' 'gcvT' 'hyfB' 'rspB' 'caiT' 'ugpQ' 'ugpC'
 'lacA' 'feaB' 'cirA' 'agaA' 'fepA' 'lsrA' 'aspA' 'rmf' 'gadX' 'malE'
 'gntK' 'aaeA' 'rspA' 'mhpR' 'agaV' 'melR' 'citX' 'mdtE' 'uhpT' 'fadH'
 'dgoA' 'lacI' 'mglC' 'fucK' 'zraS' 'deoA' 'malF' 'lsrC' 'lgoD' 'psuG'
 'fecC' 'hofO' 'gdhA' 'gntT' 'fecA' 'yhgH' 'ugpE' 'csiE' 'gadC' 'fecD'
 'fixB' 'tnaB' 'argG' 'proP' 'hyfI' 'agaW' 'yeiW' 'prpR' 'xylH' 'fecB'
 'araD' 'ugpA' 'lacY' 'ebgC' 'nanC']",['malX' 'xylG' 'zraR' 'lacZ'],['entC' 'melA' 'putP'],['melB'],[],[],[],[],[],[],[],[],[],[],[],[]
