,0
gene_id,ABUW_1180
name,basE
operon,Op630
gene_product,2%2C3-dihydroxybenzoate-AMP ligase
cog,"Secondary metabolites biosynthesis, transport, and catabolism"
regulator,<i>Not Available</i>
link,<i>Not Available</i>
